"list_date","list_age","list_gender","list_death"
2020-04-01,"50 - 59","F",5
2020-04-01,"50 - 59","M",11
2020-04-01,"60 - 69","F",7
2020-04-01,"60 - 69","M",15
2020-04-01,"70 - 79","F",11
2020-04-01,"70 - 79","M",21
2020-04-01,"80 - 89","F",7
2020-04-01,"80 - 89","M",6
2020-04-01,"90 - 99","F",4
2020-04-01,"90 - 99","M",5
2020-04-02,"10 - 19","M",1
2020-04-02,"20 - 29","F",3
2020-04-02,"20 - 29","M",1
2020-04-02,"30 - 39","F",2
2020-04-02,"30 - 39","M",3
2020-04-02,"40 - 49","F",4
2020-04-02,"40 - 49","M",7
2020-04-02,"50 - 59","F",3
2020-04-02,"50 - 59","M",9
2020-04-02,"60 - 69","F",8
2020-04-02,"60 - 69","M",12
2020-04-02,"70 - 79","F",16
2020-04-02,"70 - 79","M",10
2020-04-02,"80 - 89","F",14
2020-04-02,"80 - 89","M",13
2020-04-02,"90 - 99","F",5
2020-04-02,"90 - 99","M",3
2020-04-03,"10 - 19","F",1
2020-04-03,"10 - 19","M",2
2020-04-03,"20 - 29","F",2
2020-04-03,"20 - 29","M",2
2020-04-03,"30 - 39","F",2
2020-04-03,"30 - 39","M",3
2020-04-03,"40 - 49","F",2
2020-04-03,"40 - 49","M",9
2020-04-03,"50 - 59","F",3
2020-04-03,"50 - 59","M",11
2020-04-03,"60 - 69","F",12
2020-04-03,"60 - 69","M",13
2020-04-03,"70 - 79","F",14
2020-04-03,"70 - 79","M",21
2020-04-03,"80 - 89","F",11
2020-04-03,"80 - 89","M",16
2020-04-03,"90 - 99","F",9
2020-04-03,"90 - 99","M",6
2020-04-04,"10 - 19","F",2
2020-04-04,"20 - 29","F",2
2020-04-04,"20 - 29","M",1
2020-04-04,"30 - 39","F",3
2020-04-04,"30 - 39","M",4
2020-04-04,"40 - 49","F",6
2020-04-04,"40 - 49","M",11
2020-04-04,"50 - 59","F",10
2020-04-04,"50 - 59","M",9
2020-04-04,"60 - 69","F",15
2020-04-04,"60 - 69","M",13
2020-04-04,"70 - 79","F",11
2020-04-04,"70 - 79","M",22
2020-04-04,"80 - 89","F",11
2020-04-04,"80 - 89","M",11
2020-04-04,"90 - 99","F",2
2020-04-04,"90 - 99","M",6
2020-04-05,"10 - 19","F",1
2020-04-05,"10 - 19","M",1
2020-04-05,"30 - 39","F",2
2020-04-05,"30 - 39","M",2
2020-04-05,"40 - 49","F",5
2020-04-05,"40 - 49","M",12
2020-04-05,"50 - 59","F",11
2020-04-05,"50 - 59","M",17
2020-04-05,"60 - 69","F",19
2020-04-05,"60 - 69","M",19
2020-04-05,"70 - 79","F",17
2020-04-05,"70 - 79","M",33
2020-04-05,"80 - 89","F",13
2020-04-05,"80 - 89","M",19
2020-04-05,"90 - 99","F",7
2020-04-05,"90 - 99","M",3
2020-04-06,"< 9","F",2
2020-04-06,"10 - 19","M",1
2020-04-06,"20 - 29","F",2
2020-04-06,"20 - 29","M",1
2020-04-06,"30 - 39","F",2
2020-04-06,"30 - 39","M",7
2020-04-06,"40 - 49","F",3
2020-04-06,"40 - 49","M",5
2020-04-06,"50 - 59","F",12
2020-04-06,"50 - 59","M",10
2020-04-06,"60 - 69","F",11
2020-04-06,"60 - 69","M",18
2020-04-06,"70 - 79","F",17
2020-04-06,"70 - 79","M",23
2020-04-06,"80 - 89","F",9
2020-04-06,"80 - 89","M",16
2020-04-06,"90 - 99","F",5
2020-04-06,"90 - 99","M",2
2020-04-07,"10 - 19","F",2
2020-04-07,"10 - 19","M",2
2020-04-07,"20 - 29","F",3
2020-04-07,"20 - 29","M",1
2020-04-07,"30 - 39","M",2
2020-04-07,"40 - 49","F",5
2020-04-07,"40 - 49","M",7
2020-04-07,"50 - 59","F",5
2020-04-07,"50 - 59","M",11
2020-04-07,"60 - 69","F",15
2020-04-07,"60 - 69","M",28
2020-04-07,"70 - 79","F",16
2020-04-07,"70 - 79","M",19
2020-04-07,"80 - 89","F",16
2020-04-07,"80 - 89","M",13
2020-04-07,"90 - 99","F",7
2020-04-07,"90 - 99","M",4
2020-04-08,"10 - 19","F",1
2020-04-08,"10 - 19","M",2
2020-04-08,"20 - 29","M",2
2020-04-08,"30 - 39","F",2
2020-04-08,"30 - 39","M",4
2020-04-08,"40 - 49","F",3
2020-04-08,"40 - 49","M",3
2020-04-08,"50 - 59","F",9
2020-04-08,"50 - 59","M",19
2020-04-08,"60 - 69","F",14
2020-04-08,"60 - 69","M",19
2020-04-08,"70 - 79","F",14
2020-04-08,"70 - 79","M",28
2020-04-08,"80 - 89","F",11
2020-04-08,"80 - 89","M",15
2020-04-08,"90 - 99","F",11
2020-04-08,"90 - 99","M",3
2020-04-09,"< 9","F",1
2020-04-09,"10 - 19","M",1
2020-04-09,"20 - 29","F",1
2020-04-09,"20 - 29","M",2
2020-04-09,"30 - 39","F",1
2020-04-09,"40 - 49","F",3
2020-04-09,"40 - 49","M",12
2020-04-09,"50 - 59","F",9
2020-04-09,"50 - 59","M",10
2020-04-09,"60 - 69","F",11
2020-04-09,"60 - 69","M",14
2020-04-09,"70 - 79","F",7
2020-04-09,"70 - 79","M",18
2020-04-09,"80 - 89","F",14
2020-04-09,"80 - 89","M",23
2020-04-09,"90 - 99","F",7
2020-04-09,"> 100","M",1
2020-04-10,"< 9","F",1
2020-04-10,"10 - 19","F",1
2020-04-10,"20 - 29","F",1
2020-04-10,"20 - 29","M",1
2020-04-10,"30 - 39","F",2
2020-04-10,"30 - 39","M",3
2020-04-10,"40 - 49","F",1
2020-04-10,"40 - 49","M",3
2020-04-10,"50 - 59","F",5
2020-04-10,"50 - 59","M",17
2020-04-10,"60 - 69","F",13
2020-04-10,"60 - 69","M",21
2020-04-10,"70 - 79","F",15
2020-04-10,"70 - 79","M",27
2020-04-10,"80 - 89","F",17
2020-04-10,"80 - 89","M",10
2020-04-10,"90 - 99","F",9
2020-04-10,"90 - 99","M",5
2020-04-10,"> 100","F",3
2020-04-11,"20 - 29","F",1
2020-04-11,"20 - 29","M",2
2020-04-11,"30 - 39","F",2
2020-04-11,"30 - 39","M",8
2020-04-11,"40 - 49","F",8
2020-04-11,"40 - 49","M",13
2020-04-11,"50 - 59","F",5
2020-04-11,"50 - 59","M",10
2020-04-11,"60 - 69","F",23
2020-04-11,"60 - 69","M",23
2020-04-11,"70 - 79","F",19
2020-04-11,"70 - 79","M",22
2020-04-11,"80 - 89","F",14
2020-04-11,"80 - 89","M",19
2020-04-11,"90 - 99","F",10
2020-04-11,"90 - 99","M",2
2020-04-11,"> 100","F",1
2020-04-12,"< 9","F",2
2020-04-12,"10 - 19","M",1
2020-04-12,"20 - 29","F",1
2020-04-12,"20 - 29","M",1
2020-04-12,"30 - 39","F",3
2020-04-12,"30 - 39","M",9
2020-04-12,"40 - 49","F",9
2020-04-12,"40 - 49","M",8
2020-04-12,"50 - 59","F",8
2020-04-12,"50 - 59","M",15
2020-04-12,"60 - 69","F",17
2020-04-12,"60 - 69","M",23
2020-04-12,"70 - 79","F",10
2020-04-12,"70 - 79","M",27
2020-04-12,"80 - 89","F",24
2020-04-12,"80 - 89","M",26
2020-04-12,"90 - 99","F",7
2020-04-12,"90 - 99","M",10
2020-04-13,"10 - 19","M",1
2020-04-13,"20 - 29","F",2
2020-04-13,"20 - 29","M",2
2020-04-13,"30 - 39","M",5
2020-04-13,"40 - 49","F",8
2020-04-13,"40 - 49","M",14
2020-04-13,"50 - 59","F",11
2020-04-13,"50 - 59","M",20
2020-04-13,"60 - 69","F",12
2020-04-13,"60 - 69","M",29
2020-04-13,"70 - 79","F",18
2020-04-13,"70 - 79","M",32
2020-04-13,"80 - 89","F",18
2020-04-13,"80 - 89","M",19
2020-04-13,"90 - 99","F",7
2020-04-13,"90 - 99","M",9
2020-04-13,"> 100","F",1
2020-04-13,"> 100","M",1
2020-04-14,"10 - 19","F",1
