"state","number_deaths","month","year"
"AC",249,1,2015
"AL",796,1,2015
"AP",197,1,2015
"AM",400,1,2015
"BA",2124,1,2015
"CE",517,1,2015
"DF",1277,1,2015
"ES",1988,1,2015
"GO",2006,1,2015
"MA",194,1,2015
"MT",1292,1,2015
"MS",589,1,2015
"MG",9899,1,2015
"PA",276,1,2015
"PB",1432,1,2015
"PR",5819,1,2015
"PE",5017,1,2015
"PI",215,1,2015
"RJ",18338,1,2015
"RN",342,1,2015
"RS",2714,1,2015
"RO",523,1,2015
"RR",89,1,2015
"SC",2519,1,2015
"SP",26524,1,2015
"SE",904,1,2015
"TO",238,1,2015
"AC",209,2,2015
"AL",337,2,2015
"AP",127,2,2015
"AM",382,2,2015
"BA",1687,2,2015
"CE",490,2,2015
"DF",1075,2,2015
"ES",1796,2,2015
"GO",1648,2,2015
"MA",167,2,2015
"MT",1176,2,2015
"MS",471,2,2015
"MG",8012,2,2015
"PA",251,2,2015
"PB",1330,2,2015
"PR",5077,2,2015
"PE",4475,2,2015
"PI",139,2,2015
"RJ",16442,2,2015
"RN",256,2,2015
"RS",1904,2,2015
"RO",334,2,2015
"RR",60,2,2015
"SC",2150,2,2015
"SP",20639,2,2015
"SE",808,2,2015
"TO",161,2,2015
"AC",252,3,2015
"AL",392,3,2015
"AP",117,3,2015
"AM",207,3,2015
"BA",1922,3,2015
"CE",645,3,2015
"DF",1234,3,2015
"ES",1930,3,2015
"GO",1874,3,2015
"MA",184,3,2015
"MT",1226,3,2015
"MS",545,3,2015
"MG",9444,3,2015
"PA",289,3,2015
"PB",1236,3,2015
"PR",5694,3,2015
"PE",4797,3,2015
"PI",163,3,2015
"RJ",10163,3,2015
"RN",504,3,2015
"RS",2040,3,2015
"RO",415,3,2015
"RR",67,3,2015
"SC",2406,3,2015
"SP",23623,3,2015
"SE",952,3,2015
"TO",257,3,2015
"AC",215,4,2015
"AL",480,4,2015
"AP",184,4,2015
"AM",104,4,2015
"BA",1636,4,2015
"CE",662,4,2015
"DF",1275,4,2015
"ES",1757,4,2015
"GO",2080,4,2015
"MA",189,4,2015
"MT",1355,4,2015
"MS",582,4,2015
"MG",9468,4,2015
"PA",249,4,2015
"PB",1378,4,2015
"PR",5654,4,2015
"PE",4675,4,2015
"PI",216,4,2015
"RJ",651,4,2015
"RN",459,4,2015
"RS",2108,4,2015
"RO",434,4,2015
"RR",77,4,2015
"SC",2094,4,2015
"SP",24738,4,2015
"SE",910,4,2015
"TO",233,4,2015
"AC",239,5,2015
"AL",400,5,2015
"AP",179,5,2015
"AM",442,5,2015
"BA",1826,5,2015
"CE",708,5,2015
"DF",1311,5,2015
"ES",1834,5,2015
"GO",2093,5,2015
"MA",166,5,2015
"MT",1385,5,2015
"MS",619,5,2015
"MG",9971,5,2015
"PA",201,5,2015
"PB",1641,5,2015
"PR",5872,5,2015
"PE",4617,5,2015
"PI",224,5,2015
"RJ",1264,5,2015
"RN",331,5,2015
"RS",2157,5,2015
"RO",539,5,2015
"RR",72,5,2015
"SC",2462,5,2015
"SP",25127,5,2015
"SE",893,5,2015
"TO",205,5,2015
"AC",218,6,2015
"AL",466,6,2015
"AP",170,6,2015
"AM",124,6,2015
"BA",1899,6,2015
"CE",620,6,2015
"DF",1196,6,2015
"ES",1959,6,2015
"GO",2030,6,2015
"MA",155,6,2015
"MT",1263,6,2015
"MS",589,6,2015
"MG",11026,6,2015
"PA",209,6,2015
"PB",1557,6,2015
"PR",6441,6,2015
"PE",4594,6,2015
"PI",225,6,2015
"RJ",898,6,2015
"RN",321,6,2015
"RS",2431,6,2015
"RO",415,6,2015
"RR",92,6,2015
"SC",2801,6,2015
"SP",26215,6,2015
"SE",987,6,2015
"TO",254,6,2015
"AC",197,7,2015
"AL",686,7,2015
"AP",176,7,2015
"AM",109,7,2015
"BA",2386,7,2015
"CE",544,7,2015
"DF",1199,7,2015
"ES",2057,7,2015
"GO",1827,7,2015
"MA",155,7,2015
"MT",1444,7,2015
"MS",669,7,2015
"MG",11128,7,2015
"PA",292,7,2015
"PB",1667,7,2015
"PR",6895,7,2015
"PE",4773,7,2015
"PI",220,7,2015
"RJ",984,7,2015
"RN",272,7,2015
"RS",3634,7,2015
"RO",413,7,2015
"RR",70,7,2015
"SC",2882,7,2015
"SP",27378,7,2015
"SE",1024,7,2015
"TO",206,7,2015
"AC",211,8,2015
"AL",385,8,2015
"AP",160,8,2015
"AM",170,8,2015
"BA",1637,8,2015
"CE",589,8,2015
"DF",1158,8,2015
"ES",1941,8,2015
"GO",1888,8,2015
"MA",129,8,2015
"MT",1259,8,2015
"MS",627,8,2015
"MG",10043,8,2015
"PA",286,8,2015
"PB",1486,8,2015
"PR",6411,8,2015
"PE",4550,8,2015
"PI",217,8,2015
"RJ",8042,8,2015
"RN",254,8,2015
"RS",2575,8,2015
"RO",450,8,2015
"RR",80,8,2015
"SC",2571,8,2015
"SP",23459,8,2015
"SE",898,8,2015
"TO",213,8,2015
"AC",207,9,2015
"AL",712,9,2015
"AP",194,9,2015
"AM",216,9,2015
"BA",2100,9,2015
"CE",715,9,2015
"DF",1093,9,2015
"ES",1842,9,2015
"GO",1885,9,2015
"MA",121,9,2015
"MT",1344,9,2015
"MS",616,9,2015
"MG",10284,9,2015
"PA",310,9,2015
"PB",1407,9,2015
"PR",6402,9,2015
"PE",4337,9,2015
"PI",236,9,2015
"RJ",16155,9,2015
"RN",221,9,2015
"RS",2273,9,2015
"RO",503,9,2015
"RR",67,9,2015
"SC",2535,9,2015
"SP",24537,9,2015
"SE",871,9,2015
"TO",242,9,2015
"AC",214,10,2015
"AL",638,10,2015
"AP",153,10,2015
"AM",206,10,2015
"BA",1899,10,2015
"CE",681,10,2015
"DF",1175,10,2015
"ES",1788,10,2015
"GO",2047,10,2015
"MA",166,10,2015
"MT",1345,10,2015
"MS",471,10,2015
"MG",10233,10,2015
"PA",307,10,2015
"PB",1427,10,2015
"PR",5772,10,2015
"PE",3468,10,2015
"PI",237,10,2015
"RJ",16338,10,2015
"RN",249,10,2015
"RS",2278,10,2015
"RO",422,10,2015
"RR",72,10,2015
"SC",2499,10,2015
"SP",23370,10,2015
"SE",851,10,2015
"TO",241,10,2015
"AC",152,11,2015
"AL",792,11,2015
"AP",147,11,2015
"AM",196,11,2015
"BA",2252,11,2015
"CE",650,11,2015
"DF",913,11,2015
"ES",1787,11,2015
"GO",1816,11,2015
"MA",174,11,2015
"MT",1288,11,2015
"MS",409,11,2015
"MG",9565,11,2015
"PA",289,11,2015
"PB",1526,11,2015
"PR",5531,11,2015
"PE",2685,11,2015
"PI",341,11,2015
"RJ",16296,11,2015
"RN",245,11,2015
"RS",2255,11,2015
"RO",432,11,2015
"RR",70,11,2015
"SC",2491,11,2015
"SP",21818,11,2015
"SE",954,11,2015
"TO",231,11,2015
"AC",146,12,2015
"AL",816,12,2015
"AP",177,12,2015
"AM",570,12,2015
"BA",1992,12,2015
"CE",835,12,2015
"DF",948,12,2015
"ES",1795,12,2015
"GO",1756,12,2015
"MA",194,12,2015
"MT",1330,12,2015
"MS",458,12,2015
"MG",10573,12,2015
"PA",685,12,2015
"PB",1511,12,2015
"PR",5780,12,2015
"PE",3055,12,2015
"PI",236,12,2015
"RJ",18541,12,2015
"RN",453,12,2015
"RS",2310,12,2015
"RO",559,12,2015
"RR",54,12,2015
"SC",2087,12,2015
"SP",23176,12,2015
"SE",1033,12,2015
"TO",239,12,2015
"AC",169,1,2016
"AL",912,1,2016
"AP",156,1,2016
"AM",469,1,2016
"BA",2227,1,2016
"CE",1093,1,2016
"DF",1131,1,2016
"ES",1785,1,2016
"GO",1879,1,2016
"MA",273,1,2016
"MT",1378,1,2016
