"state_code.x","state","uf","mesorregiao_code","mesorregiao","microrregiao_code","microrregiao","RM","municipio_code","municipio","city_without_symbol","city","year","month","number_deaths"
29,"BA","Bahia","05","Metropolitana de Salvador","021","Salvador","RM Salvador",2927408,"Salvador","salvador","Salvador",2019,7,1286
29,"BA","Bahia","05","Metropolitana de Salvador","021","Salvador","RM Salvador",2927408,"Salvador","salvador","Salvador",2019,8,1269
29,"BA","Bahia","05","Metropolitana de Salvador","021","Salvador","RM Salvador",2927408,"Salvador","salvador","Salvador",2019,9,1256
29,"BA","Bahia","05","Metropolitana de Salvador","021","Salvador","RM Salvador",2927408,"Salvador","salvador","Salvador",2019,10,1388
29,"BA","Bahia","05","Metropolitana de Salvador","021","Salvador","RM Salvador",2927408,"Salvador","salvador","Salvador",2019,11,1155
29,"BA","Bahia","05","Metropolitana de Salvador","021","Salvador","RM Salvador",2927408,"Salvador","salvador","Salvador",2019,12,1192
29,"BA","Bahia","05","Metropolitana de Salvador","021","Salvador","RM Salvador",2927408,"Salvador","salvador","Salvador",2020,1,1322
29,"BA","Bahia","05","Metropolitana de Salvador","021","Salvador","RM Salvador",2927408,"Salvador","salvador","Salvador",2020,2,1185
29,"BA","Bahia","05","Metropolitana de Salvador","021","Salvador","RM Salvador",2927408,"Salvador","salvador","Salvador",2020,3,1381
29,"BA","Bahia","05","Metropolitana de Salvador","021","Salvador","RM Salvador",2927408,"Salvador","salvador","Salvador",2020,4,1502
29,"BA","Bahia","05","Metropolitana de Salvador","021","Salvador","RM Salvador",2927408,"Salvador","salvador","Salvador",2020,5,2208
29,"BA","Bahia","05","Metropolitana de Salvador","021","Salvador","RM Salvador",2927408,"Salvador","salvador","Salvador",2020,6,2814
23,"CE","Ceará","03","Metropolitana de Fortaleza","016","Fortaleza","RM Fortaleza",2304400,"Fortaleza","fortaleza","Fortaleza",2019,1,1618
23,"CE","Ceará","03","Metropolitana de Fortaleza","016","Fortaleza","RM Fortaleza",2304400,"Fortaleza","fortaleza","Fortaleza",2019,2,1427
23,"CE","Ceará","03","Metropolitana de Fortaleza","016","Fortaleza","RM Fortaleza",2304400,"Fortaleza","fortaleza","Fortaleza",2019,3,1694
23,"CE","Ceará","03","Metropolitana de Fortaleza","016","Fortaleza","RM Fortaleza",2304400,"Fortaleza","fortaleza","Fortaleza",2019,4,1814
23,"CE","Ceará","03","Metropolitana de Fortaleza","016","Fortaleza","RM Fortaleza",2304400,"Fortaleza","fortaleza","Fortaleza",2019,5,1690
23,"CE","Ceará","03","Metropolitana de Fortaleza","016","Fortaleza","RM Fortaleza",2304400,"Fortaleza","fortaleza","Fortaleza",2019,6,1458
23,"CE","Ceará","03","Metropolitana de Fortaleza","016","Fortaleza","RM Fortaleza",2304400,"Fortaleza","fortaleza","Fortaleza",2019,7,1521
23,"CE","Ceará","03","Metropolitana de Fortaleza","016","Fortaleza","RM Fortaleza",2304400,"Fortaleza","fortaleza","Fortaleza",2019,8,1234
23,"CE","Ceará","03","Metropolitana de Fortaleza","016","Fortaleza","RM Fortaleza",2304400,"Fortaleza","fortaleza","Fortaleza",2019,9,1333
23,"CE","Ceará","03","Metropolitana de Fortaleza","016","Fortaleza","RM Fortaleza",2304400,"Fortaleza","fortaleza","Fortaleza",2019,10,1470
23,"CE","Ceará","03","Metropolitana de Fortaleza","016","Fortaleza","RM Fortaleza",2304400,"Fortaleza","fortaleza","Fortaleza",2019,11,1526
23,"CE","Ceará","03","Metropolitana de Fortaleza","016","Fortaleza","RM Fortaleza",2304400,"Fortaleza","fortaleza","Fortaleza",2019,12,1493
23,"CE","Ceará","03","Metropolitana de Fortaleza","016","Fortaleza","RM Fortaleza",2304400,"Fortaleza","fortaleza","Fortaleza",2020,1,1570
23,"CE","Ceará","03","Metropolitana de Fortaleza","016","Fortaleza","RM Fortaleza",2304400,"Fortaleza","fortaleza","Fortaleza",2020,2,1474
23,"CE","Ceará","03","Metropolitana de Fortaleza","016","Fortaleza","RM Fortaleza",2304400,"Fortaleza","fortaleza","Fortaleza",2020,3,1698
23,"CE","Ceará","03","Metropolitana de Fortaleza","016","Fortaleza","RM Fortaleza",2304400,"Fortaleza","fortaleza","Fortaleza",2020,4,2187
23,"CE","Ceará","03","Metropolitana de Fortaleza","016","Fortaleza","RM Fortaleza",2304400,"Fortaleza","fortaleza","Fortaleza",2020,5,4475
23,"CE","Ceará","03","Metropolitana de Fortaleza","016","Fortaleza","RM Fortaleza",2304400,"Fortaleza","fortaleza","Fortaleza",2020,6,2615
32,"ES","Espírito Santo","03","Central Espírito-santense","009","Vitória","RM Vitória",3205309,"Vitória","vitoria","Vitória",2019,1,205
32,"ES","Espírito Santo","03","Central Espírito-santense","009","Vitória","RM Vitória",3205309,"Vitória","vitoria","Vitória",2019,2,182
32,"ES","Espírito Santo","03","Central Espírito-santense","009","Vitória","RM Vitória",3205309,"Vitória","vitoria","Vitória",2019,3,213
32,"ES","Espírito Santo","03","Central Espírito-santense","009","Vitória","RM Vitória",3205309,"Vitória","vitoria","Vitória",2019,4,202
32,"ES","Espírito Santo","03","Central Espírito-santense","009","Vitória","RM Vitória",3205309,"Vitória","vitoria","Vitória",2019,5,248
32,"ES","Espírito Santo","03","Central Espírito-santense","009","Vitória","RM Vitória",3205309,"Vitória","vitoria","Vitória",2019,6,223
32,"ES","Espírito Santo","03","Central Espírito-santense","009","Vitória","RM Vitória",3205309,"Vitória","vitoria","Vitória",2019,7,236
