"state_code.x","state","uf","mesorregiao_code","mesorregiao","microrregiao_code","microrregiao","RM","municipio_code","municipio","city_without_symbol","city","year","month","number_deaths"
27,"AL","Alagoas","03","Leste Alagoano","011","Maceió","RM Maceio",2704302,"Maceió","maceio","Maceio",2019,1,481
27,"AL","Alagoas","03","Leste Alagoano","011","Maceió","RM Maceio",2704302,"Maceió","maceio","Maceio",2019,2,466
27,"AL","Alagoas","03","Leste Alagoano","011","Maceió","RM Maceio",2704302,"Maceió","maceio","Maceio",2019,3,584
27,"AL","Alagoas","03","Leste Alagoano","011","Maceió","RM Maceio",2704302,"Maceió","maceio","Maceio",2019,4,435
27,"AL","Alagoas","03","Leste Alagoano","011","Maceió","RM Maceio",2704302,"Maceió","maceio","Maceio",2019,5,656
27,"AL","Alagoas","03","Leste Alagoano","011","Maceió","RM Maceio",2704302,"Maceió","maceio","Maceio",2019,6,489
27,"AL","Alagoas","03","Leste Alagoano","011","Maceió","RM Maceio",2704302,"Maceió","maceio","Maceio",2019,7,527
27,"AL","Alagoas","03","Leste Alagoano","011","Maceió","RM Maceio",2704302,"Maceió","maceio","Maceio",2019,8,535
27,"AL","Alagoas","03","Leste Alagoano","011","Maceió","RM Maceio",2704302,"Maceió","maceio","Maceio",2019,9,517
27,"AL","Alagoas","03","Leste Alagoano","011","Maceió","RM Maceio",2704302,"Maceió","maceio","Maceio",2019,10,544
27,"AL","Alagoas","03","Leste Alagoano","011","Maceió","RM Maceio",2704302,"Maceió","maceio","Maceio",2019,11,520
27,"AL","Alagoas","03","Leste Alagoano","011","Maceió","RM Maceio",2704302,"Maceió","maceio","Maceio",2019,12,551
27,"AL","Alagoas","03","Leste Alagoano","011","Maceió","RM Maceio",2704302,"Maceió","maceio","Maceio",2020,1,580
27,"AL","Alagoas","03","Leste Alagoano","011","Maceió","RM Maceio",2704302,"Maceió","maceio","Maceio",2020,2,548
27,"AL","Alagoas","03","Leste Alagoano","011","Maceió","RM Maceio",2704302,"Maceió","maceio","Maceio",2020,3,536
