"state","number_deaths","month","year"
"TO",599,10,2019
"AC",327,11,2019
"AL",1268,11,2019
"AP",214,11,2019
"AM",1041,11,2019
"BA",5139,11,2019
"CE",3234,11,2019
"DF",1166,11,2019
"ES",1907,11,2019
"GO",2498,11,2019
"MA",1417,11,2019
"MT",1052,11,2019
"MS",1237,11,2019
"MG",9064,11,2019
"PA",1930,11,2019
"PB",2084,11,2019
"PR",5311,11,2019
"PE",4855,11,2019
"PI",1135,11,2019
"RJ",9957,11,2019
"RN",1181,11,2019
"RS",6961,11,2019
"RO",644,11,2019
"RR",199,11,2019
"SC",3212,11,2019
"SP",23645,11,2019
"SE",870,11,2019
"TO",580,11,2019
"AC",344,12,2019
"AL",1251,12,2019
"AP",167,12,2019
"AM",1136,12,2019
"BA",4888,12,2019
"CE",3355,12,2019
"DF",1218,12,2019
"ES",2094,12,2019
"GO",2519,12,2019
"MA",1507,12,2019
"MT",1102,12,2019
"MS",1172,12,2019
"MG",9432,12,2019
"PA",2225,12,2019
"PB",2108,12,2019
"PR",5472,12,2019
"PE",5209,12,2019
"PI",1013,12,2019
"RJ",10746,12,2019
"RN",1237,12,2019
"RS",7015,12,2019
"RO",644,12,2019
"RR",181,12,2019
"SC",3103,12,2019
"SP",22793,12,2019
"SE",1000,12,2019
"TO",650,12,2019
"AC",371,1,2020
"AL",1404,1,2020
"AP",239,1,2020
"AM",1293,1,2020
"BA",6004,1,2020
"CE",3558,1,2020
"DF",1244,1,2020
"ES",2157,1,2020
"GO",2787,1,2020
"MA",1877,1,2020
"MT",1105,1,2020
"MS",1262,1,2020
"MG",10818,1,2020
"PA",2315,1,2020
"PB",2213,1,2020
"PR",5610,1,2020
"PE",5326,1,2020
"PI",1107,1,2020
"RJ",10738,1,2020
"RN",1354,1,2020
"RS",7449,1,2020
"RO",450,1,2020
"RR",213,1,2020
"SC",3677,1,2020
"SP",28395,1,2020
"SE",1053,1,2020
"TO",556,1,2020
"AC",333,2,2020
"AL",1227,2,2020
"AP",181,2,2020
"AM",1118,2,2020
"BA",4648,2,2020
"CE",3142,2,2020
"DF",1100,2,2020
"ES",1831,2,2020
"GO",2386,2,2020
"MA",1644,2,2020
"MT",995,2,2020
"MS",1147,2,2020
"MG",9096,2,2020
"PA",1962,2,2020
"PB",1869,2,2020
"PR",5008,2,2020
"PE",4589,2,2020
"PI",980,2,2020
"RJ",10092,2,2020
"RN",1217,2,2020
"RS",6331,2,2020
"RO",595,2,2020
"RR",166,2,2020
"SC",2933,2,2020
"SP",21924,2,2020
"SE",896,2,2020
"TO",451,2,2020
"AC",334,3,2020
"AL",1358,3,2020
"AP",175,3,2020
"AM",1203,3,2020
"BA",4996,3,2020
"CE",3573,3,2020
"DF",1278,3,2020
"ES",2094,3,2020
"GO",2627,3,2020
"MA",1749,3,2020
"MT",1162,3,2020
"MS",1326,3,2020
"MG",10501,3,2020
"PA",2270,3,2020
"PB",2117,3,2020
"PR",5750,3,2020
"PE",5483,3,2020
"PI",840,3,2020
"RJ",11219,3,2020
"RN",1328,3,2020
"RS",6629,3,2020
"RO",728,3,2020
"RR",198,3,2020
"SC",2956,3,2020
"SP",26635,3,2020
"SE",975,3,2020
"TO",519,3,2020
"AC",293,4,2020
"AL",1327,4,2020
"AP",103,4,2020
"AM",2785,4,2020
"BA",5003,4,2020
"CE",4200,4,2020
"DF",1155,4,2020
"ES",2062,4,2020
"GO",2545,4,2020
"MA",2083,4,2020
"MT",818,4,2020
"MS",1129,4,2020
"MG",10021,4,2020
"PA",2622,4,2020
"PB",2003,4,2020
"PR",5547,4,2020
"PE",6097,4,2020
"PI",1152,4,2020
"RJ",13986,4,2020
"RN",1345,4,2020
"RS",6655,4,2020
"RO",674,4,2020
