"date","state","age_group","gender","number_deaths"
2020-03-28,"CE","70 - 79","M",1
2020-03-28,"CE","70 - 79","F",1
2020-03-29,"CE","30 - 39","M",1
2020-03-29,"CE","40 - 49","F",1
2020-03-29,"CE","60 - 69","M",1
2020-03-30,"CE","40 - 49","F",1
2020-03-30,"CE","90 - 99","F",1
2020-03-31,"CE","40 - 49","M",2
2020-03-31,"CE","50 - 59","F",1
2020-03-31,"CE","60 - 69","F",1
2020-03-31,"CE","70 - 79","F",1
2020-03-31,"CE","80 - 89","M",3
2020-03-31,"CE","80 - 89","F",1
2020-04-01,"CE","50 - 59","M",1
2020-04-01,"CE","50 - 59","F",1
2020-04-01,"CE","70 - 79","F",1
2020-04-01,"CE","90 - 99","M",1
2020-04-02,"CE","20 - 29","F",1
2020-04-02,"CE","20 - 29","M",1
2020-04-02,"CE","40 - 49","M",2
2020-04-02,"CE","70 - 79","M",1
2020-04-02,"CE","80 - 89","F",1
2020-04-02,"CE","80 - 89","M",1
2020-04-02,"CE","90 - 99","M",1
2020-04-03,"CE","30 - 39","M",1
2020-04-03,"CE","50 - 59","M",1
2020-04-03,"CE","70 - 79","F",1
2020-04-03,"CE","70 - 79","M",3
2020-04-03,"CE","80 - 89","F",1
2020-04-03,"CE","80 - 89","M",1
2020-04-03,"CE","90 - 99","F",2
2020-04-04,"CE","50 - 59","M",1
2020-04-04,"CE","60 - 69","F",2
2020-04-04,"CE","60 - 69","M",1
2020-04-04,"CE","70 - 79","M",2
2020-04-05,"CE","40 - 49","M",2
2020-04-05,"CE","50 - 59","M",1
2020-04-05,"CE","60 - 69","F",1
2020-04-05,"CE","70 - 79","M",2
2020-04-05,"CE","70 - 79","F",2
2020-04-05,"CE","80 - 89","F",2
2020-04-06,"CE","< 9","F",1
2020-04-06,"CE","30 - 39","M",1
2020-04-06,"CE","40 - 49","M",1
2020-04-06,"CE","60 - 69","F",1
2020-04-06,"CE","60 - 69","M",1
2020-04-06,"CE","70 - 79","F",2
2020-04-06,"CE","80 - 89","M",4
2020-04-06,"CE","80 - 89","F",1
2020-04-07,"CE","60 - 69","F",1
2020-04-07,"CE","70 - 79","M",1
2020-04-07,"CE","80 - 89","F",1
2020-04-07,"CE","80 - 89","M",1
2020-04-08,"CE","50 - 59","F",1
2020-04-08,"CE","50 - 59","M",1
2020-04-08,"CE","60 - 69","F",2
2020-04-08,"CE","70 - 79","M",2
2020-04-08,"CE","70 - 79","F",1
2020-04-08,"CE","90 - 99","F",3
2020-04-09,"CE","20 - 29","M",2
2020-04-09,"CE","40 - 49","F",1
2020-04-09,"CE","50 - 59","M",1
2020-04-09,"CE","70 - 79","F",1
2020-04-09,"CE","80 - 89","M",2
2020-04-09,"CE","80 - 89","F",1
2020-04-09,"CE","90 - 99","F",2
2020-04-10,"CE","30 - 39","M",1
2020-04-10,"CE","50 - 59","F",1
2020-04-10,"CE","50 - 59","M",1
2020-04-10,"CE","60 - 69","F",1
2020-04-10,"CE","70 - 79","M",2
2020-04-10,"CE","80 - 89","F",2
2020-04-10,"CE","80 - 89","M",1
2020-04-11,"CE","40 - 49","F",1
2020-04-11,"CE","50 - 59","M",1
2020-04-11,"CE","60 - 69","M",1
2020-04-11,"CE","60 - 69","F",1
2020-04-11,"CE","70 - 79","M",3
2020-04-11,"CE","70 - 79","F",2
2020-04-11,"CE","80 - 89","F",2
2020-04-11,"CE","80 - 89","M",1
2020-04-12,"CE","30 - 39","M",1
2020-04-12,"CE","50 - 59","M",1
2020-04-12,"CE","60 - 69","F",2
2020-04-12,"CE","60 - 69","M",1
2020-04-12,"CE","70 - 79","M",4
2020-04-12,"CE","80 - 89","F",2
2020-04-12,"CE","80 - 89","M",2
2020-04-12,"CE","90 - 99","F",1
2020-04-12,"CE","90 - 99","M",1
2020-04-13,"CE","40 - 49","M",2
2020-04-13,"CE","50 - 59","F",2
2020-04-13,"CE","50 - 59","M",3
2020-04-13,"CE","60 - 69","M",3
2020-04-13,"CE","70 - 79","M",1
2020-04-13,"CE","70 - 79","F",1
2020-04-13,"CE","80 - 89","F",3
2020-04-13,"CE","80 - 89","M",1
2020-04-14,"CE","40 - 49","M",2
2020-04-14,"CE","50 - 59","M",1
2020-04-14,"CE","60 - 69","F",2
2020-04-14,"CE","70 - 79","M",3
2020-04-14,"CE","70 - 79","F",2
2020-04-14,"CE","80 - 89","F",2
2020-04-15,"CE","40 - 49","M",1
2020-04-15,"CE","50 - 59","M",1
2020-04-15,"CE","60 - 69","M",3
2020-04-15,"CE","70 - 79","M",3
2020-04-15,"CE","80 - 89","F",1
2020-04-15,"CE","80 - 89","M",1
2020-04-15,"CE","90 - 99","M",1
2020-04-15,"CE","90 - 99","F",1
2020-04-16,"CE","20 - 29","M",2
2020-04-16,"CE","40 - 49","M",2
2020-04-16,"CE","50 - 59","F",1
2020-04-16,"CE","60 - 69","M",4
2020-04-16,"CE","60 - 69","F",1
2020-04-16,"CE","70 - 79","M",2
2020-04-16,"CE","80 - 89","M",2
2020-04-16,"CE","> 100","F",1
2020-04-17,"CE","30 - 39","M",1
2020-04-17,"CE","50 - 59","F",1
2020-04-17,"CE","50 - 59","M",2
2020-04-17,"CE","60 - 69","M",2
2020-04-17,"CE","70 - 79","M",3
2020-04-17,"CE","70 - 79","F",1
2020-04-17,"CE","80 - 89","M",3
2020-04-17,"CE","80 - 89","F",3
2020-04-18,"CE","40 - 49","F",1
2020-04-18,"CE","50 - 59","M",2
2020-04-18,"CE","60 - 69","F",1
2020-04-18,"CE","60 - 69","M",3
2020-04-18,"CE","70 - 79","F",1
2020-04-18,"CE","70 - 79","M",1
2020-04-18,"CE","80 - 89","M",1
2020-04-18,"CE","80 - 89","F",2
2020-04-19,"CE","30 - 39","M",1
2020-04-19,"CE","50 - 59","M",2
2020-04-19,"CE","60 - 69","F",2
2020-04-19,"CE","70 - 79","F",2
2020-04-19,"CE","70 - 79","M",1
2020-04-19,"CE","80 - 89","M",2
2020-04-19,"CE","80 - 89","F",2
2020-04-19,"CE","90 - 99","F",1
2020-04-19,"CE","> 100","F",1
2020-04-20,"CE","50 - 59","M",1
2020-04-20,"CE","50 - 59","F",1
2020-04-20,"CE","60 - 69","M",5
2020-04-20,"CE","60 - 69","F",3
2020-04-20,"CE","70 - 79","F",4
2020-04-20,"CE","70 - 79","M",1
2020-04-20,"CE","80 - 89","F",1
2020-04-20,"CE","90 - 99","F",2
2020-04-21,"CE","40 - 49","M",1
2020-04-21,"CE","50 - 59","F",1
2020-04-21,"CE","60 - 69","M",2
2020-04-21,"CE","60 - 69","F",1
2020-04-21,"CE","70 - 79","M",2
2020-04-21,"CE","70 - 79","F",1
2020-04-21,"CE","80 - 89","M",2
2020-04-22,"CE","90 - 99","F",1
2020-03-24,"DF","60 - 69","F",1
2020-03-26,"DF","40 - 49","M",1
2020-03-26,"DF","70 - 79","F",1
2020-03-27,"DF","30 - 39","M",1
2020-03-27,"DF","80 - 89","M",1
2020-03-29,"DF","40 - 49","M",1
2020-03-29,"DF","70 - 79","M",1
2020-03-30,"DF","40 - 49","M",1
2020-03-30,"DF","60 - 69","F",1
2020-03-31,"DF","40 - 49","M",1
2020-03-31,"DF","50 - 59","M",1
2020-03-31,"DF","70 - 79","M",1
2020-03-31,"DF","80 - 89","F",1
2020-04-01,"DF","80 - 89","M",1
2020-04-02,"DF","50 - 59","M",1
2020-04-02,"DF","70 - 79","F",1
2020-04-02,"DF","80 - 89","M",1
2020-04-03,"DF","60 - 69","F",2
2020-04-04,"DF","50 - 59","M",1
2020-04-04,"DF","70 - 79","M",1
2020-04-04,"DF","80 - 89","M",1
2020-04-05,"DF","40 - 49","M",1
2020-04-05,"DF","80 - 89","M",2
2020-04-08,"DF","80 - 89","F",1
2020-04-11,"DF","30 - 39","M",1
2020-04-11,"DF","60 - 69","F",1
2020-04-12,"DF","60 - 69","M",1
2020-04-12,"DF","70 - 79","M",1
2020-04-12,"DF","90 - 99","M",1
2020-04-13,"DF","50 - 59","M",1
2020-04-14,"DF","70 - 79","F",2
2020-04-15,"DF","50 - 59","F",1
2020-04-15,"DF","80 - 89","M",1
2020-04-15,"DF","80 - 89","F",1
2020-04-17,"DF","60 - 69","F",1
2020-04-17,"DF","60 - 69","M",1
2020-04-17,"DF","70 - 79","M",1
2020-04-18,"DF","80 - 89","F",1
2020-04-20,"DF","< 9","F",1
2020-04-20,"DF","60 - 69","F",1
2020-04-22,"DF","80 - 89","M",1
2020-04-22,"DF","> 100","M",1
2020-04-01,"ES","20 - 29","F",1
2020-04-01,"ES","50 - 59","M",1
2020-04-01,"ES","60 - 69","F",1
2020-04-02,"ES","30 - 39","F",1
2020-04-02,"ES","60 - 69","F",1
2020-04-03,"ES","20 - 29","M",1
2020-04-04,"ES","30 - 39","M",1
2020-04-05,"ES","40 - 49","M",1
2020-04-05,"ES","60 - 69","F",1
2020-04-05,"ES","80 - 89","M",1
2020-04-08,"ES","60 - 69","M",1
2020-04-08,"ES","70 - 79","M",2
2020-04-09,"ES","70 - 79","F",1
2020-04-10,"ES","60 - 69","M",1
2020-04-10,"ES","80 - 89","M",1
2020-04-11,"ES","70 - 79","F",1
2020-04-12,"ES","60 - 69","M",1
2020-04-12,"ES","80 - 89","M",1
2020-04-12,"ES","80 - 89","F",2
2020-04-13,"ES","80 - 89","F",1
2020-04-14,"ES","40 - 49","M",1
2020-04-14,"ES","50 - 59","F",1
2020-04-15,"ES","60 - 69","F",1
2020-04-15,"ES","70 - 79","F",1
2020-04-16,"ES","60 - 69","F",1
2020-04-16,"ES","70 - 79","M",1
2020-04-16,"ES","80 - 89","F",1
2020-04-16,"ES","80 - 89","M",1
2020-04-17,"ES","40 - 49","F",1
2020-04-17,"ES","80 - 89","M",1
2020-04-18,"ES","90 - 99","F",1
2020-04-20,"ES","70 - 79","F",1
2020-04-21,"ES","70 - 79","F",1
2020-04-22,"ES","50 - 59","M",1
2020-04-22,"ES","60 - 69","M",1
2020-04-22,"ES","70 - 79","M",1
2020-04-22,"ES","90 - 99","F",1
2020-04-23,"ES","30 - 39","M",1
2020-04-23,"ES","40 - 49","F",1
2020-04-23,"ES","50 - 59","F",1
2020-04-23,"ES","60 - 69","M",1
2020-03-27,"GO","50 - 59","F",1
2020-03-27,"GO","60 - 69","M",1
2020-03-28,"GO","20 - 29","M",1
2020-03-29,"GO","80 - 89","F",1
2020-03-30,"GO","80 - 89","M",1
2020-03-31,"GO","70 - 79","F",1
2020-03-31,"GO","80 - 89","M",1
2020-04-01,"GO","60 - 69","F",1
2020-04-02,"GO","70 - 79","F",1
2020-04-03,"GO","80 - 89","F",1
2020-04-04,"GO","30 - 39","F",1
2020-04-04,"GO","70 - 79","M",1
2020-04-04,"GO","70 - 79","F",1
2020-04-05,"GO","40 - 49","M",1
2020-04-05,"GO","50 - 59","F",3
2020-04-05,"GO","60 - 69","M",1
2020-04-05,"GO","70 - 79","M",2
2020-04-05,"GO","80 - 89","M",1
2020-04-06,"GO","20 - 29","F",1
2020-04-06,"GO","60 - 69","M",1
2020-04-06,"GO","70 - 79","M",1
2020-04-07,"GO","60 - 69","M",4
2020-04-08,"GO","60 - 69","M",1
2020-04-08,"GO","70 - 79","M",2
2020-04-08,"GO","80 - 89","M",1
2020-04-08,"GO","80 - 89","F",1
2020-04-10,"GO","70 - 79","M",1
2020-04-10,"GO","70 - 79","F",1
2020-04-10,"GO","80 - 89","F",1
2020-04-11,"GO","60 - 69","M",1
2020-04-11,"GO","80 - 89","M",1
2020-04-12,"GO","40 - 49","F",2
2020-04-12,"GO","60 - 69","F",1
2020-04-12,"GO","80 - 89","M",1
2020-04-14,"GO","70 - 79","F",2
2020-04-17,"GO","90 - 99","M",1
2020-04-18,"GO","70 - 79","F",1
2020-04-18,"GO","70 - 79","M",1
2020-04-19,"GO","70 - 79","M",1
2020-04-20,"GO","20 - 29","M",1
2020-04-20,"GO","60 - 69","M",1
2020-04-21,"GO","40 - 49","F",1
2020-04-07,"MA","10 - 19","F",2
2020-04-07,"MA","60 - 69","M",1
2020-04-07,"MA","70 - 79","F",2
2020-04-07,"MA","70 - 79","M",1
2020-04-08,"MA","30 - 39","M",1
2020-04-11,"MA","60 - 69","M",1
2020-04-11,"MA","70 - 79","M",1
2020-04-12,"MA","60 - 69","M",3
2020-04-12,"MA","80 - 89","F",1
2020-04-13,"MA","10 - 19","M",1
2020-04-13,"MA","80 - 89","F",1
2020-04-14,"MA","60 - 69","F",1
2020-04-15,"MA","60 - 69","M",3
2020-04-17,"MA","30 - 39","M",2
2020-04-17,"MA","50 - 59","M",2
2020-04-17,"MA","60 - 69","M",1
2020-04-17,"MA","70 - 79","M",2
2020-04-17,"MA","70 - 79","F",1
2020-04-17,"MA","80 - 89","M",1
2020-04-18,"MA","40 - 49","M",3
2020-04-18,"MA","50 - 59","F",1
2020-04-18,"MA","60 - 69","M",1
2020-04-18,"MA","60 - 69","F",1
2020-04-18,"MA","70 - 79","M",2
2020-04-18,"MA","80 - 89","F",1
2020-04-18,"MA","90 - 99","M",1
2020-04-19,"MA","10 - 19","M",2
2020-04-19,"MA","60 - 69","F",1
2020-04-19,"MA","70 - 79","M",1
2020-04-20,"MA","60 - 69","M",1
2020-04-21,"MA","30 - 39","F",1
2020-04-21,"MA","40 - 49","F",1
2020-04-21,"MA","60 - 69","M",1
2020-04-21,"MA","70 - 79","M",2
2020-04-21,"MA","80 - 89","M",2
2020-04-22,"MA","20 - 29","M",1
2020-04-22,"MA","30 - 39","F",1
2020-04-23,"MA","70 - 79","M",1
2020-03-22,"MG","60 - 69","M",1
2020-03-22,"MG","80 - 89","M",1
2020-03-24,"MG","70 - 79","M",1
2020-03-25,"MG","10 - 19","M",1
2020-03-25,"MG","60 - 69","F",1
2020-03-26,"MG","60 - 69","M",1
2020-03-26,"MG","70 - 79","M",1
2020-03-27,"MG","50 - 59","F",1
2020-03-27,"MG","60 - 69","M",1
2020-03-27,"MG","80 - 89","M",1
2020-03-28,"MG","10 - 19","M",1
2020-03-28,"MG","80 - 89","M",1
2020-03-29,"MG","40 - 49","F",1
2020-03-29,"MG","60 - 69","M",1
2020-03-29,"MG","70 - 79","M",1
2020-03-29,"MG","70 - 79","F",1
2020-03-29,"MG","80 - 89","F",1
2020-03-30,"MG","40 - 49","M",1
2020-03-30,"MG","80 - 89","F",1
2020-03-30,"MG","80 - 89","M",1
2020-03-31,"MG","50 - 59","M",1
2020-03-31,"MG","70 - 79","F",2
2020-04-01,"MG","60 - 69","M",3
2020-04-01,"MG","70 - 79","F",1
2020-04-01,"MG","70 - 79","M",3
2020-04-02,"MG","50 - 59","M",1
2020-04-02,"MG","60 - 69","M",1
2020-04-02,"MG","60 - 69","F",1
2020-04-02,"MG","80 - 89","F",2
2020-04-02,"MG","90 - 99","F",2
2020-04-03,"MG","40 - 49","M",1
2020-04-03,"MG","60 - 69","M",1
2020-04-03,"MG","70 - 79","F",1
2020-04-03,"MG","70 - 79","M",3
2020-04-03,"MG","80 - 89","M",1
2020-04-03,"MG","90 - 99","M",2
2020-04-04,"MG","60 - 69","M",1
2020-04-04,"MG","70 - 79","F",1
2020-04-05,"MG","40 - 49","F",1
2020-04-05,"MG","40 - 49","M",1
2020-04-05,"MG","50 - 59","F",1
2020-04-05,"MG","60 - 69","M",1
2020-04-05,"MG","70 - 79","M",2
2020-04-05,"MG","90 - 99","F",1
2020-04-06,"MG","60 - 69","F",1
2020-04-06,"MG","60 - 69","M",1
2020-04-06,"MG","70 - 79","F",1
2020-04-07,"MG","20 - 29","F",1
2020-04-07,"MG","60 - 69","M",1
2020-04-07,"MG","70 - 79","M",1
2020-04-07,"MG","80 - 89","F",1
2020-04-08,"MG","30 - 39","M",1
2020-04-08,"MG","40 - 49","F",1
2020-04-08,"MG","50 - 59","M",2
2020-04-08,"MG","60 - 69","F",2
2020-04-08,"MG","60 - 69","M",1
2020-04-08,"MG","80 - 89","M",1
2020-04-08,"MG","80 - 89","F",1
2020-04-08,"MG","90 - 99","F",1
2020-04-09,"MG","70 - 79","F",1
2020-04-09,"MG","80 - 89","M",1
2020-04-10,"MG","50 - 59","M",1
2020-04-10,"MG","70 - 79","F",1
2020-04-10,"MG","70 - 79","M",1
2020-04-10,"MG","80 - 89","F",2
2020-04-10,"MG","> 100","F",1
2020-04-11,"MG","40 - 49","F",1
2020-04-11,"MG","80 - 89","M",2
2020-04-11,"MG","90 - 99","F",1
2020-04-12,"MG","20 - 29","F",1
2020-04-12,"MG","40 - 49","F",1
2020-04-12,"MG","80 - 89","M",1
2020-04-14,"MG","60 - 69","M",2
2020-04-14,"MG","80 - 89","F",1
2020-04-15,"MG","20 - 29","F",1
2020-04-15,"MG","40 - 49","M",1
2020-04-15,"MG","60 - 69","M",1
2020-04-15,"MG","60 - 69","F",1
2020-04-15,"MG","80 - 89","M",1
2020-04-15,"MG","80 - 89","F",2
2020-04-16,"MG","60 - 69","M",2
2020-04-16,"MG","70 - 79","M",1
2020-04-17,"MG","80 - 89","F",1
2020-04-18,"MG","50 - 59","M",1
2020-04-18,"MG","70 - 79","M",1
2020-04-18,"MG","90 - 99","F",1
2020-04-19,"MG","70 - 79","M",1
2020-04-20,"MG","80 - 89","M",1
2020-04-01,"MS","20 - 29","M",1
2020-04-07,"MS","40 - 49","M",1
2020-04-13,"MS","60 - 69","F",1
2020-04-03,"MT","50 - 59","M",1
2020-04-04,"MT","10 - 19","F",1
2020-04-08,"MT","10 - 19","M",1
2020-04-21,"MT","20 - 29","M",1
2020-04-03,"PA","70 - 79","F",1
2020-04-05,"PA","40 - 49","M",1
2020-04-09,"PA","50 - 59","M",1
2020-04-13,"PA","70 - 79","F",1
2020-04-14,"PA","40 - 49","F",1
2020-04-14,"PA","40 - 49","M",1
2020-04-16,"PA","80 - 89","M",1
2020-04-18,"PA","50 - 59","M",1
2020-04-18,"PA","90 - 99","M",1
2020-04-19,"PA","40 - 49","M",1
2020-04-19,"PA","70 - 79","F",1
2020-04-20,"PA","70 - 79","M",1
2020-04-21,"PA","80 - 89","M",1
2020-04-22,"PA","60 - 69","F",1
2020-03-30,"PB","70 - 79","F",1
2020-03-31,"PB","30 - 39","M",1
2020-04-01,"PB","50 - 59","M",1
2020-04-05,"PB","80 - 89","M",1
2020-04-08,"PB","50 - 59","F",1
2020-04-10,"PB","70 - 79","M",1
2020-04-11,"PB","50 - 59","F",1
2020-04-12,"PB","80 - 89","F",1
2020-04-13,"PB","50 - 59","M",1
2020-04-13,"PB","60 - 69","M",1
2020-04-14,"PB","60 - 69","M",1
2020-04-14,"PB","70 - 79","F",1
2020-04-15,"PB","50 - 59","F",1
2020-04-15,"PB","60 - 69","F",1
2020-04-16,"PB","60 - 69","M",1
2020-04-16,"PB","90 - 99","F",1
2020-04-17,"PB","80 - 89","F",1
2020-04-18,"PB","40 - 49","M",1
2020-04-18,"PB","80 - 89","M",1
2020-04-19,"PB","40 - 49","F",1
2020-04-20,"PB","70 - 79","M",1
2020-04-21,"PB","80 - 89","F",1
2020-03-20,"PE","70 - 79","F",1
2020-03-23,"PE","50 - 59","M",1
2020-03-25,"PE","80 - 89","M",1
2020-03-26,"PE","30 - 39","F",1
2020-03-26,"PE","60 - 69","M",1
2020-03-27,"PE","60 - 69","F",1
2020-03-29,"PE","60 - 69","M",1
2020-03-30,"PE","60 - 69","M",1
2020-04-01,"PE","60 - 69","M",1
2020-04-01,"PE","90 - 99","F",1
2020-04-03,"PE","60 - 69","M",1
2020-04-04,"PE","50 - 59","F",3
2020-04-04,"PE","70 - 79","M",1
2020-04-05,"PE","30 - 39","F",1
2020-04-05,"PE","60 - 69","F",1
2020-04-05,"PE","70 - 79","M",2
2020-04-05,"PE","70 - 79","F",1
2020-04-06,"PE","20 - 29","F",1
2020-04-06,"PE","60 - 69","F",1
2020-04-06,"PE","80 - 89","M",1
2020-04-07,"PE","60 - 69","F",3
2020-04-07,"PE","90 - 99","M",1
2020-04-08,"PE","60 - 69","F",2
2020-04-08,"PE","70 - 79","M",1
2020-04-09,"PE","60 - 69","M",1
2020-04-09,"PE","80 - 89","F",1
2020-04-09,"PE","80 - 89","M",1
2020-04-10,"PE","10 - 19","F",1
2020-04-10,"PE","20 - 29","F",1
2020-04-10,"PE","50 - 59","M",2
2020-04-10,"PE","60 - 69","M",1
2020-04-10,"PE","90 - 99","M",1
2020-04-11,"PE","30 - 39","M",1
2020-04-11,"PE","80 - 89","F",2
2020-04-11,"PE","80 - 89","M",1
2020-04-12,"PE","10 - 19","M",1
2020-04-12,"PE","30 - 39","M",1
2020-04-12,"PE","40 - 49","M",1
2020-04-12,"PE","50 - 59","M",1
2020-04-12,"PE","60 - 69","F",1
2020-04-12,"PE","70 - 79","F",1
2020-04-12,"PE","80 - 89","F",1
2020-04-12,"PE","90 - 99","F",1
2020-04-13,"PE","40 - 49","F",1
2020-04-13,"PE","70 - 79","M",2
2020-04-13,"PE","70 - 79","F",1
2020-04-13,"PE","80 - 89","M",2
2020-04-13,"PE","> 100","F",1
2020-04-14,"PE","40 - 49","F",1
2020-04-14,"PE","40 - 49","M",1
2020-04-14,"PE","50 - 59","M",1
2020-04-14,"PE","60 - 69","M",1
2020-04-14,"PE","70 - 79","F",1
2020-04-14,"PE","70 - 79","M",3
2020-04-14,"PE","80 - 89","F",2
2020-04-15,"PE","20 - 29","F",1
2020-04-15,"PE","30 - 39","M",1
2020-04-15,"PE","50 - 59","M",1
2020-04-15,"PE","60 - 69","M",2
