"rm","cidade","state","state_code","cod_ibge","capital","year","month","number_deaths"
"São Paulo","São Paulo","SP",35,"3550308",1,2019,1,7793
"São Paulo","São Paulo","SP",35,"3550308",1,2019,2,6392
"São Paulo","São Paulo","SP",35,"3550308",1,2019,3,6615
"São Paulo","São Paulo","SP",35,"3550308",1,2019,4,6942
"São Paulo","São Paulo","SP",35,"3550308",1,2019,5,7879
"São Paulo","São Paulo","SP",35,"3550308",1,2019,6,7588
"São Paulo","São Paulo","SP",35,"3550308",1,2019,7,8575
"São Paulo","São Paulo","SP",35,"3550308",1,2019,8,7784
"São Paulo","São Paulo","SP",35,"3550308",1,2019,9,7253
"São Paulo","São Paulo","SP",35,"3550308",1,2019,10,7319
"São Paulo","São Paulo","SP",35,"3550308",1,2019,11,6972
"São Paulo","São Paulo","SP",35,"3550308",1,2019,12,6440
"São Paulo","São Paulo","SP",35,"3550308",1,2020,1,8123
"São Paulo","São Paulo","SP",35,"3550308",1,2020,2,6077
"São Paulo","São Paulo","SP",35,"3550308",1,2020,3,7650
"São Paulo","São Paulo","SP",35,"3550308",1,2020,4,9333
"São Paulo","São Paulo","SP",35,"3550308",1,2020,5,9890
"Rio de Janeiro","Rio de Janeiro","RJ",33,"3304557",1,2019,1,4899
"Rio de Janeiro","Rio de Janeiro","RJ",33,"3304557",1,2019,2,4409
"Rio de Janeiro","Rio de Janeiro","RJ",33,"3304557",1,2019,3,4645
"Rio de Janeiro","Rio de Janeiro","RJ",33,"3304557",1,2019,4,5329
"Rio de Janeiro","Rio de Janeiro","RJ",33,"3304557",1,2019,5,5967
"Rio de Janeiro","Rio de Janeiro","RJ",33,"3304557",1,2019,6,5674
"Rio de Janeiro","Rio de Janeiro","RJ",33,"3304557",1,2019,7,5764
"Rio de Janeiro","Rio de Janeiro","RJ",33,"3304557",1,2019,8,5474
"Rio de Janeiro","Rio de Janeiro","RJ",33,"3304557",1,2019,9,5122
"Rio de Janeiro","Rio de Janeiro","RJ",33,"3304557",1,2019,10,4715
"Rio de Janeiro","Rio de Janeiro","RJ",33,"3304557",1,2019,11,4631
"Rio de Janeiro","Rio de Janeiro","RJ",33,"3304557",1,2019,12,4722
"Rio de Janeiro","Rio de Janeiro","RJ",33,"3304557",1,2020,1,4759
"Rio de Janeiro","Rio de Janeiro","RJ",33,"3304557",1,2020,2,4495
"Rio de Janeiro","Rio de Janeiro","RJ",33,"3304557",1,2020,3,4873
"Rio de Janeiro","Rio de Janeiro","RJ",33,"3304557",1,2020,4,6946
"Rio de Janeiro","Rio de Janeiro","RJ",33,"3304557",1,2020,5,9059
"Belo Horizonte","Belo Horizonte","MG",31,"3106200",1,2019,1,1132
"Belo Horizonte","Belo Horizonte","MG",31,"3106200",1,2019,2,978
"Belo Horizonte","Belo Horizonte","MG",31,"3106200",1,2019,3,1128
"Belo Horizonte","Belo Horizonte","MG",31,"3106200",1,2019,4,1073
"Belo Horizonte","Belo Horizonte","MG",31,"3106200",1,2019,5,1222
"Belo Horizonte","Belo Horizonte","MG",31,"3106200",1,2019,6,1222
"Belo Horizonte","Belo Horizonte","MG",31,"3106200",1,2019,7,771
"Belo Horizonte","Belo Horizonte","MG",31,"3106200",1,2019,8,639
"Belo Horizonte","Belo Horizonte","MG",31,"3106200",1,2019,9,980
"Belo Horizonte","Belo Horizonte","MG",31,"3106200",1,2019,10,1014
"Belo Horizonte","Belo Horizonte","MG",31,"3106200",1,2019,11,835
"Belo Horizonte","Belo Horizonte","MG",31,"3106200",1,2019,12,985
"Belo Horizonte","Belo Horizonte","MG",31,"3106200",1,2020,1,1396
"Belo Horizonte","Belo Horizonte","MG",31,"3106200",1,2020,2,1250
"Belo Horizonte","Belo Horizonte","MG",31,"3106200",1,2020,3,1475
"Belo Horizonte","Belo Horizonte","MG",31,"3106200",1,2020,4,1274
"Belo Horizonte","Belo Horizonte","MG",31,"3106200",1,2020,5,1524
"Distrito Federal e entorno","Brasília","DF",53,"5300108",1,2019,1,1198
"Distrito Federal e entorno","Brasília","DF",53,"5300108",1,2020,1,1245
"Distrito Federal e entorno","Brasília","DF",53,"5300108",1,2019,2,1064
"Distrito Federal e entorno","Brasília","DF",53,"5300108",1,2020,2,1103
"Distrito Federal e entorno","Brasília","DF",53,"5300108",1,2019,3,1182
"Distrito Federal e entorno","Brasília","DF",53,"5300108",1,2020,3,1294
"Distrito Federal e entorno","Brasília","DF",53,"5300108",1,2019,4,1257
"Distrito Federal e entorno","Brasília","DF",53,"5300108",1,2020,4,1166
"Distrito Federal e entorno","Brasília","DF",53,"5300108",1,2019,5,1294
"Distrito Federal e entorno","Brasília","DF",53,"5300108",1,2020,5,1248
"Distrito Federal e entorno","Brasília","DF",53,"5300108",1,2019,6,1287
"Distrito Federal e entorno","Brasília","DF",53,"5300108",1,2019,7,1297
"Distrito Federal e entorno","Brasília","DF",53,"5300108",1,2019,8,1299
"Distrito Federal e entorno","Brasília","DF",53,"5300108",1,2019,9,1301
"Distrito Federal e entorno","Brasília","DF",53,"5300108",1,2019,10,1300
"Distrito Federal e entorno","Brasília","DF",53,"5300108",1,2019,11,1166
"Distrito Federal e entorno","Brasília","DF",53,"5300108",1,2019,12,1218
"Porto Alegre","Porto Alegre","RS",43,"4314902",1,2019,1,1524
"Porto Alegre","Porto Alegre","RS",43,"4314902",1,2019,2,1261
"Porto Alegre","Porto Alegre","RS",43,"4314902",1,2019,3,1455
"Porto Alegre","Porto Alegre","RS",43,"4314902",1,2019,4,1406
"Porto Alegre","Porto Alegre","RS",43,"4314902",1,2019,5,1551
"Porto Alegre","Porto Alegre","RS",43,"4314902",1,2019,6,1679
"Porto Alegre","Porto Alegre","RS",43,"4314902",1,2019,7,1915
"Porto Alegre","Porto Alegre","RS",43,"4314902",1,2019,8,1885
"Porto Alegre","Porto Alegre","RS",43,"4314902",1,2019,9,1582
"Porto Alegre","Porto Alegre","RS",43,"4314902",1,2019,10,1614
"Porto Alegre","Porto Alegre","RS",43,"4314902",1,2019,11,1498
"Porto Alegre","Porto Alegre","RS",43,"4314902",1,2019,12,1597
"Porto Alegre","Porto Alegre","RS",43,"4314902",1,2020,1,1551
"Porto Alegre","Porto Alegre","RS",43,"4314902",1,2020,2,1481
"Porto Alegre","Porto Alegre","RS",43,"4314902",1,2020,3,1454
"Porto Alegre","Porto Alegre","RS",43,"4314902",1,2020,4,1357
"Porto Alegre","Porto Alegre","RS",43,"4314902",1,2020,5,1294
"Recife","Recife","PE",26,"2611606",1,2019,1,1228
"Recife","Recife","PE",26,"2611606",1,2019,2,1188
"Recife","Recife","PE",26,"2611606",1,2019,3,1383
"Recife","Recife","PE",26,"2611606",1,2019,4,1188
"Recife","Recife","PE",26,"2611606",1,2019,5,1371
"Recife","Recife","PE",26,"2611606",1,2019,6,1288
"Recife","Recife","PE",26,"2611606",1,2019,7,1413
"Recife","Recife","PE",26,"2611606",1,2019,8,1305
"Recife","Recife","PE",26,"2611606",1,2019,9,1361
"Recife","Recife","PE",26,"2611606",1,2019,10,1275
"Recife","Recife","PE",26,"2611606",1,2019,11,1284
"Recife","Recife","PE",26,"2611606",1,2019,12,1380
"Recife","Recife","PE",26,"2611606",1,2020,1,1334
"Recife","Recife","PE",26,"2611606",1,2020,2,1244
"Recife","Recife","PE",26,"2611606",1,2020,3,1386
"Recife","Recife","PE",26,"2611606",1,2020,4,1816
"Recife","Recife","PE",26,"2611606",1,2020,5,2979
"Fortaleza","Fortaleza","CE",23,"2304400",1,2019,1,1617
"Fortaleza","Fortaleza","CE",23,"2304400",1,2019,2,1427
"Fortaleza","Fortaleza","CE",23,"2304400",1,2019,3,1694
"Fortaleza","Fortaleza","CE",23,"2304400",1,2019,4,1813
"Fortaleza","Fortaleza","CE",23,"2304400",1,2019,5,1690
"Fortaleza","Fortaleza","CE",23,"2304400",1,2019,6,1458
"Fortaleza","Fortaleza","CE",23,"2304400",1,2019,7,1521
"Fortaleza","Fortaleza","CE",23,"2304400",1,2019,8,1235
"Fortaleza","Fortaleza","CE",23,"2304400",1,2019,9,1333
"Fortaleza","Fortaleza","CE",23,"2304400",1,2019,10,1470
"Fortaleza","Fortaleza","CE",23,"2304400",1,2019,11,1526
"Fortaleza","Fortaleza","CE",23,"2304400",1,2019,12,1493
"Fortaleza","Fortaleza","CE",23,"2304400",1,2020,1,1569
"Fortaleza","Fortaleza","CE",23,"2304400",1,2020,2,1473
"Fortaleza","Fortaleza","CE",23,"2304400",1,2020,3,1693
"Fortaleza","Fortaleza","CE",23,"2304400",1,2020,4,2187
"Fortaleza","Fortaleza","CE",23,"2304400",1,2020,5,4474
"Salvador","Salvador","BA",29,"2927408",1,2019,1,1150
"Salvador","Salvador","BA",29,"2927408",1,2019,2,1102
"Salvador","Salvador","BA",29,"2927408",1,2019,3,1091
"Salvador","Salvador","BA",29,"2927408",1,2019,4,1070
"Salvador","Salvador","BA",29,"2927408",1,2019,5,1261
"Salvador","Salvador","BA",29,"2927408",1,2019,6,1112
"Salvador","Salvador","BA",29,"2927408",1,2019,7,1266
"Salvador","Salvador","BA",29,"2927408",1,2019,8,1251
"Salvador","Salvador","BA",29,"2927408",1,2019,9,1212
"Salvador","Salvador","BA",29,"2927408",1,2019,10,1294
