"rm","cidade","state","state_code","cod_ibge","capital","year","month","number_deaths"
"Porto Alegre","Porto Alegre","RS",43,"4314902",1,2019,12,1597
"Porto Alegre","Porto Alegre","RS",43,"4314902",1,2020,1,1551
"Porto Alegre","Porto Alegre","RS",43,"4314902",1,2020,2,1481
"Porto Alegre","Porto Alegre","RS",43,"4314902",1,2020,3,1454
"Porto Alegre","Porto Alegre","RS",43,"4314902",1,2020,4,1357
"Porto Alegre","Porto Alegre","RS",43,"4314902",1,2020,5,1529
"Porto Alegre","Porto Alegre","RS",43,"4314902",1,2020,6,1552
"Recife","Recife","PE",26,"2611606",1,2019,1,1228
"Recife","Recife","PE",26,"2611606",1,2019,2,1188
"Recife","Recife","PE",26,"2611606",1,2019,3,1383
"Recife","Recife","PE",26,"2611606",1,2019,4,1189
"Recife","Recife","PE",26,"2611606",1,2019,5,1370
"Recife","Recife","PE",26,"2611606",1,2019,6,1288
"Recife","Recife","PE",26,"2611606",1,2019,7,1413
"Recife","Recife","PE",26,"2611606",1,2019,8,1305
"Recife","Recife","PE",26,"2611606",1,2019,9,1361
"Recife","Recife","PE",26,"2611606",1,2019,10,1275
"Recife","Recife","PE",26,"2611606",1,2019,11,1284
"Recife","Recife","PE",26,"2611606",1,2019,12,1380
"Recife","Recife","PE",26,"2611606",1,2020,1,1334
"Recife","Recife","PE",26,"2611606",1,2020,2,1244
"Recife","Recife","PE",26,"2611606",1,2020,3,1386
"Recife","Recife","PE",26,"2611606",1,2020,4,1815
"Recife","Recife","PE",26,"2611606",1,2020,5,2979
"Recife","Recife","PE",26,"2611606",1,2020,6,1682
"Fortaleza","Fortaleza","CE",23,"2304400",1,2019,1,1618
"Fortaleza","Fortaleza","CE",23,"2304400",1,2019,2,1427
"Fortaleza","Fortaleza","CE",23,"2304400",1,2019,3,1694
"Fortaleza","Fortaleza","CE",23,"2304400",1,2019,4,1814
"Fortaleza","Fortaleza","CE",23,"2304400",1,2019,5,1690
"Fortaleza","Fortaleza","CE",23,"2304400",1,2019,6,1458
"Fortaleza","Fortaleza","CE",23,"2304400",1,2019,7,1521
"Fortaleza","Fortaleza","CE",23,"2304400",1,2019,8,1234
"Fortaleza","Fortaleza","CE",23,"2304400",1,2019,9,1333
"Fortaleza","Fortaleza","CE",23,"2304400",1,2019,10,1470
"Fortaleza","Fortaleza","CE",23,"2304400",1,2019,11,1526
"Fortaleza","Fortaleza","CE",23,"2304400",1,2019,12,1493
"Fortaleza","Fortaleza","CE",23,"2304400",1,2020,1,1570
"Fortaleza","Fortaleza","CE",23,"2304400",1,2020,2,1474
"Fortaleza","Fortaleza","CE",23,"2304400",1,2020,3,1698
"Fortaleza","Fortaleza","CE",23,"2304400",1,2020,4,2187
