"state","number_deaths","month","year"
"AC",296,1,2019
"AL",1377,1,2019
"AP",233,1,2019
"AM",1171,1,2019
"BA",5639,1,2019
"CE",3594,1,2019
"DF",1198,1,2019
"ES",2175,1,2019
"GO",2817,1,2019
"MA",1878,1,2019
"MT",1037,1,2019
"MS",1361,1,2019
"MG",11240,1,2019
"PA",2212,1,2019
"PB",2267,1,2019
"PR",5892,1,2019
"PE",5120,1,2019
"PI",1386,1,2019
"RJ",11333,1,2019
"RN",1418,1,2019
"RS",6933,1,2019
"RO",753,1,2019
"RR",181,1,2019
"SC",3583,1,2019
"SP",27805,1,2019
"SE",1069,1,2019
"TO",548,1,2019
"AC",299,2,2019
"AL",1214,2,2019
"AP",196,2,2019
"AM",1121,2,2019
"BA",5079,2,2019
"CE",3087,2,2019
"DF",1064,2,2019
"ES",1758,2,2019
"GO",2341,2,2019
"MA",1715,2,2019
"MT",893,2,2019
"MS",1147,2,2019
"MG",9015,2,2019
"PA",2004,2,2019
"PB",1994,2,2019
"PR",4884,2,2019
"PE",4507,2,2019
"PI",1089,2,2019
"RJ",9856,2,2019
"RN",1203,2,2019
"RS",6054,2,2019
"RO",606,2,2019
"RR",121,2,2019
"SC",3140,2,2019
"SP",22844,2,2019
"SE",952,2,2019
"TO",432,2,2019
"AC",328,3,2019
"AL",1331,3,2019
"AP",216,3,2019
"AM",1215,3,2019
"BA",4919,3,2019
"CE",3480,3,2019
"DF",1182,3,2019
"ES",1993,3,2019
"GO",2515,3,2019
"MA",1745,3,2019
"MT",1113,3,2019
"MS",1185,3,2019
"MG",9672,3,2019
"PA",2139,3,2019
"PB",2144,3,2019
"PR",5353,3,2019
"PE",4979,3,2019
"PI",1192,3,2019
"RJ",10424,3,2019
"RN",1286,3,2019
"RS",6488,3,2019
"RO",463,3,2019
"RR",164,3,2019
"SC",3138,3,2019
"SP",23507,3,2019
"SE",1069,3,2019
"TO",419,3,2019
"AC",331,4,2019
"AL",1507,4,2019
"AP",251,4,2019
"AM",1206,4,2019
"BA",5218,4,2019
"CE",3957,4,2019
"DF",1257,4,2019
"ES",2027,4,2019
"GO",2789,4,2019
"MA",1846,4,2019
"MT",1151,4,2019
"MS",1299,4,2019
"MG",10651,4,2019
"PA",2314,4,2019
"PB",2392,4,2019
"PR",5755,4,2019
"PE",5287,4,2019
"PI",1290,4,2019
"RJ",11996,4,2019
"RN",1482,4,2019
"RS",6869,4,2019
"RO",768,4,2019
"RR",192,4,2019
"SC",3289,4,2019
"SP",25454,4,2019
"SE",1088,4,2019
"TO",494,4,2019
"AC",316,5,2019
"AL",1654,5,2019
"AP",212,5,2019
"AM",1186,5,2019
"BA",5761,5,2019
"CE",3955,5,2019
"DF",1294,5,2019
"ES",2161,5,2019
"GO",2799,5,2019
"MA",2003,5,2019
"MT",1188,5,2019
"MS",1392,5,2019
"MG",11344,5,2019
"PA",2522,5,2019
"PB",2484,5,2019
"PR",6179,5,2019
"PE",5453,5,2019
"PI",1448,5,2019
"RJ",13183,5,2019
"RN",1592,5,2019
"RS",7347,5,2019
"RO",747,5,2019
