"state","number_deaths","month","year"
"AC",296,1,2019
"AL",1206,1,2019
"AP",233,1,2019
"AM",1171,1,2019
"BA",5601,1,2019
"CE",3583,1,2019
"DF",1198,1,2019
"ES",2175,1,2019
"GO",2812,1,2019
"MA",1874,1,2019
"MT",1018,1,2019
"MS",1360,1,2019
"MG",11228,1,2019
"PA",2212,1,2019
"PB",2267,1,2019
"PR",5857,1,2019
"PE",5108,1,2019
"PI",1385,1,2019
"RJ",11211,1,2019
"RN",1410,1,2019
"RS",6912,1,2019
"RO",753,1,2019
"RR",176,1,2019
"SC",3576,1,2019
"SP",27805,1,2019
"SE",1069,1,2019
"TO",547,1,2019
"AC",299,2,2019
"AL",1163,2,2019
"AP",196,2,2019
"AM",1121,2,2019
"BA",5007,2,2019
"CE",3078,2,2019
"DF",1064,2,2019
"ES",1741,2,2019
"GO",2340,2,2019
"MA",1702,2,2019
"MT",880,2,2019
"MS",1142,2,2019
"MG",8981,2,2019
"PA",2002,2,2019
"PB",1993,2,2019
"PR",4876,2,2019
"PE",4493,2,2019
"PI",1088,2,2019
"RJ",9746,2,2019
"RN",1199,2,2019
"RS",6054,2,2019
"RO",606,2,2019
"RR",121,2,2019
"SC",3137,2,2019
"SP",22840,2,2019
"SE",952,2,2019
"TO",432,2,2019
"AC",328,3,2019
"AL",1282,3,2019
"AP",216,3,2019
"AM",1215,3,2019
"BA",4853,3,2019
"CE",3480,3,2019
"DF",1182,3,2019
"ES",1989,3,2019
"GO",2514,3,2019
"MA",1737,3,2019
"MT",1102,3,2019
"MS",1183,3,2019
"MG",9661,3,2019
"PA",2134,3,2019
"PB",2144,3,2019
"PR",5289,3,2019
"PE",4978,3,2019
"PI",1191,3,2019
"RJ",10247,3,2019
"RN",1283,3,2019
"RS",6485,3,2019
"RO",463,3,2019
"RR",162,3,2019
"SC",3137,3,2019
"SP",23503,3,2019
"SE",1069,3,2019
"TO",418,3,2019
"AC",331,4,2019
"AL",1336,4,2019
"AP",251,4,2019
"AM",1205,4,2019
"BA",5172,4,2019
"CE",3955,4,2019
"DF",1257,4,2019
"ES",2025,4,2019
"GO",2773,4,2019
"MA",1836,4,2019
"MT",1131,4,2019
"MS",1297,4,2019
"MG",10637,4,2019
"PA",2305,4,2019
"PB",2392,4,2019
"PR",5697,4,2019
"PE",5268,4,2019
"PI",1290,4,2019
"RJ",11936,4,2019
"RN",1468,4,2019
"RS",6868,4,2019
"RO",768,4,2019
"RR",190,4,2019
"SC",3287,4,2019
"SP",25451,4,2019
"SE",1088,4,2019
"TO",494,4,2019
"AC",316,5,2019
"AL",1597,5,2019
"AP",211,5,2019
"AM",1186,5,2019
"BA",5720,5,2019
"CE",3784,5,2019
"DF",1294,5,2019
"ES",2142,5,2019
"GO",2771,5,2019
"MA",1997,5,2019
"MT",1180,5,2019
"MS",1392,5,2019
"MG",11339,5,2019
"PA",2516,5,2019
"PB",2483,5,2019
"PR",6157,5,2019
"PE",5432,5,2019
"PI",1444,5,2019
"RJ",13124,5,2019
"RN",1586,5,2019
"RS",7345,5,2019
"RO",747,5,2019
"RR",204,5,2019
"SC",3427,5,2019
"SP",27803,5,2019
"SE",1136,5,2019
"TO",540,5,2019
"AC",289,6,2019
"AL",1341,6,2019
"AP",203,6,2019
"AM",1098,6,2019
"BA",5284,6,2019
"CE",3312,6,2019
"DF",1287,6,2019
"ES",2088,6,2019
"GO",2668,6,2019
"MA",1658,6,2019
"MT",1117,6,2019
"MS",1429,6,2019
"MG",10291,6,2019
"PA",1700,6,2019
"PB",2169,6,2019
"PR",5976,6,2019
"PE",5006,6,2019
"PI",1180,6,2019
"RJ",12641,6,2019
"RN",1282,6,2019
"RS",7472,6,2019
"RO",666,6,2019
"RR",183,6,2019
"SC",3365,6,2019
"SP",26749,6,2019
"SE",1022,6,2019
"TO",461,6,2019
"AC",316,7,2019
"AL",1548,7,2019
"AP",239,7,2019
"AM",1245,7,2019
"BA",6241,7,2019
"CE",3642,7,2019
"DF",1297,7,2019
"ES",2311,7,2019
"GO",3060,7,2019
"MA",1795,7,2019
"MT",1211,7,2019
"MS",1611,7,2019
"MG",11775,7,2019
"PA",2193,7,2019
"PB",2589,7,2019
"PR",6939,7,2019
"PE",5735,7,2019
"PI",1394,7,2019
"RJ",13204,7,2019
"RN",1638,7,2019
"RS",9520,7,2019
"RO",726,7,2019
"RR",248,7,2019
"SC",4198,7,2019
"SP",31247,7,2019
"SE",1220,7,2019
"TO",544,7,2019
"AC",319,8,2019
"AL",1547,8,2019
"AP",194,8,2019
"AM",1211,8,2019
"BA",5524,8,2019
