"state","number_deaths","month","year"
"AC",249,1,2015
"AL",797,1,2015
"AP",197,1,2015
"AM",400,1,2015
"BA",2204,1,2015
"CE",517,1,2015
"DF",1277,1,2015
"ES",1986,1,2015
"GO",2006,1,2015
"MA",194,1,2015
"MT",1292,1,2015
"MS",589,1,2015
"MG",9891,1,2015
"PA",276,1,2015
"PB",1432,1,2015
"PR",5819,1,2015
"PE",4975,1,2015
"PI",215,1,2015
"RJ",18335,1,2015
"RN",342,1,2015
"RS",2677,1,2015
"RO",523,1,2015
"RR",89,1,2015
"SC",2491,1,2015
"SP",26086,1,2015
"SE",903,1,2015
"TO",238,1,2015
"AC",209,2,2015
"AL",337,2,2015
"AP",127,2,2015
"AM",382,2,2015
"BA",1760,2,2015
"CE",493,2,2015
"DF",1075,2,2015
"ES",1795,2,2015
"GO",1647,2,2015
"MA",167,2,2015
"MT",1176,2,2015
"MS",471,2,2015
"MG",8011,2,2015
"PA",251,2,2015
"PB",1330,2,2015
"PR",5077,2,2015
"PE",4422,2,2015
"PI",139,2,2015
"RJ",16440,2,2015
"RN",256,2,2015
"RS",1882,2,2015
"RO",334,2,2015
"RR",60,2,2015
"SC",2098,2,2015
"SP",20244,2,2015
"SE",808,2,2015
"TO",161,2,2015
"AC",252,3,2015
"AL",392,3,2015
"AP",117,3,2015
"AM",207,3,2015
"BA",2038,3,2015
"CE",644,3,2015
"DF",1234,3,2015
"ES",1930,3,2015
"GO",1874,3,2015
"MA",184,3,2015
"MT",1225,3,2015
"MS",545,3,2015
"MG",9438,3,2015
"PA",289,3,2015
"PB",1237,3,2015
"PR",5694,3,2015
"PE",4739,3,2015
"PI",163,3,2015
"RJ",10162,3,2015
"RN",504,3,2015
"RS",2004,3,2015
"RO",415,3,2015
"RR",67,3,2015
"SC",2359,3,2015
"SP",23195,3,2015
"SE",952,3,2015
"TO",257,3,2015
"AC",215,4,2015
"AL",480,4,2015
"AP",184,4,2015
"AM",104,4,2015
"BA",1740,4,2015
"CE",662,4,2015
"DF",1275,4,2015
"ES",1757,4,2015
"GO",2080,4,2015
"MA",189,4,2015
"MT",1355,4,2015
"MS",582,4,2015
"MG",9464,4,2015
"PA",249,4,2015
"PB",1378,4,2015
"PR",5654,4,2015
"PE",4618,4,2015
"PI",216,4,2015
"RJ",651,4,2015
"RN",459,4,2015
"RS",2080,4,2015
"RO",434,4,2015
"RR",77,4,2015
"SC",2080,4,2015
"SP",24331,4,2015
"SE",910,4,2015
"TO",233,4,2015
"AC",239,5,2015
"AL",400,5,2015
"AP",179,5,2015
"AM",442,5,2015
"BA",1873,5,2015
