"state","number_deaths","month","year"
"CE",708,5,2015
"DF",1311,5,2015
"ES",1834,5,2015
"GO",2092,5,2015
"MA",166,5,2015
"MT",1385,5,2015
"MS",619,5,2015
"MG",9962,5,2015
"PA",201,5,2015
"PB",1641,5,2015
"PR",5872,5,2015
"PE",4534,5,2015
"PI",224,5,2015
"RJ",1264,5,2015
"RN",331,5,2015
"RS",2126,5,2015
"RO",539,5,2015
"RR",72,5,2015
"SC",2427,5,2015
"SP",24673,5,2015
"SE",894,5,2015
"TO",205,5,2015
"AC",218,6,2015
"AL",466,6,2015
"AP",170,6,2015
"AM",124,6,2015
"BA",2098,6,2015
"CE",620,6,2015
"DF",1196,6,2015
"ES",1957,6,2015
"GO",2029,6,2015
"MA",155,6,2015
"MT",1263,6,2015
"MS",589,6,2015
"MG",11016,6,2015
"PA",209,6,2015
"PB",1558,6,2015
"PR",6441,6,2015
"PE",4508,6,2015
"PI",225,6,2015
"RJ",898,6,2015
"RN",321,6,2015
"RS",2406,6,2015
"RO",415,6,2015
"RR",92,6,2015
"SC",2778,6,2015
"SP",25806,6,2015
"SE",991,6,2015
"TO",254,6,2015
"AC",197,7,2015
"AL",686,7,2015
"AP",176,7,2015
"AM",108,7,2015
"BA",2438,7,2015
"CE",544,7,2015
"DF",1199,7,2015
"ES",2057,7,2015
"GO",1827,7,2015
"MA",155,7,2015
"MT",1444,7,2015
"MS",669,7,2015
"MG",11123,7,2015
"PA",292,7,2015
"PB",1667,7,2015
"PR",6895,7,2015
"PE",4680,7,2015
"PI",220,7,2015
"RJ",984,7,2015
"RN",272,7,2015
"RS",3598,7,2015
"RO",413,7,2015
"RR",70,7,2015
"SC",2859,7,2015
"SP",27010,7,2015
"SE",1030,7,2015
"TO",203,7,2015
"AC",211,8,2015
"AL",385,8,2015
"AP",160,8,2015
"AM",170,8,2015
"BA",1667,8,2015
"CE",590,8,2015
"DF",1158,8,2015
"ES",1938,8,2015
"GO",1887,8,2015
"MA",129,8,2015
"MT",1259,8,2015
"MS",627,8,2015
"MG",10035,8,2015
"PA",286,8,2015
"PB",1486,8,2015
"PR",6411,8,2015
"PE",4463,8,2015
"PI",217,8,2015
"RJ",8042,8,2015
"RN",254,8,2015
"RS",2541,8,2015
"RO",450,8,2015
"RR",80,8,2015
"SC",2551,8,2015
"SP",23160,8,2015
"SE",898,8,2015
"TO",211,8,2015
"AC",207,9,2015
"AL",712,9,2015
"AP",194,9,2015
"AM",216,9,2015
"BA",2145,9,2015
"CE",715,9,2015
"DF",1093,9,2015
"ES",1839,9,2015
"GO",1885,9,2015
"MA",121,9,2015
"MT",1344,9,2015
"MS",616,9,2015
"MG",10276,9,2015
"PA",310,9,2015
"PB",1407,9,2015
"PR",6402,9,2015
"PE",4278,9,2015
"PI",236,9,2015
"RJ",16155,9,2015
"RN",221,9,2015
"RS",2244,9,2015
"RO",503,9,2015
"RR",67,9,2015
"SC",2503,9,2015
"SP",24259,9,2015
"SE",871,9,2015
"TO",242,9,2015
"AC",214,10,2015
"AL",638,10,2015
"AP",153,10,2015
"AM",206,10,2015
"BA",1961,10,2015
"CE",681,10,2015
"DF",1175,10,2015
"ES",1787,10,2015
"GO",2047,10,2015
"MA",166,10,2015
"MT",1345,10,2015
"MS",471,10,2015
"MG",10227,10,2015
"PA",307,10,2015
"PB",1427,10,2015
"PR",5772,10,2015
"PE",3397,10,2015
"PI",236,10,2015
"RJ",16338,10,2015
"RN",249,10,2015
"RS",2231,10,2015
"RO",422,10,2015
"RR",72,10,2015
"SC",2489,10,2015
"SP",23004,10,2015
"SE",851,10,2015
"TO",240,10,2015
"AC",152,11,2015
"AL",792,11,2015
"AP",147,11,2015
"AM",196,11,2015
"BA",2305,11,2015
"CE",650,11,2015
"DF",913,11,2015
"ES",1786,11,2015
"GO",1816,11,2015
"MA",174,11,2015
"MT",1288,11,2015
"MS",409,11,2015
"MG",9561,11,2015
"PA",289,11,2015
"PB",1526,11,2015
"PR",5531,11,2015
"PE",2628,11,2015
"PI",341,11,2015
"RJ",16296,11,2015
"RN",245,11,2015
"RS",2224,11,2015
"RO",432,11,2015
"RR",70,11,2015
"SC",2454,11,2015
"SP",21421,11,2015
"SE",954,11,2015
"TO",230,11,2015
"AC",146,12,2015
"AL",816,12,2015
"AP",177,12,2015
"AM",570,12,2015
"BA",2056,12,2015
"CE",835,12,2015
"DF",948,12,2015
"ES",1792,12,2015
"GO",1756,12,2015
"MA",198,12,2015
"MT",1330,12,2015
"MS",458,12,2015
"MG",10562,12,2015
"PA",685,12,2015
"PB",1511,12,2015
"PR",5780,12,2015
"PE",2989,12,2015
"PI",236,12,2015
"RJ",18541,12,2015
"RN",453,12,2015
"RS",2273,12,2015
"RO",559,12,2015
"RR",54,12,2015
"SC",2055,12,2015
"SP",22761,12,2015
"SE",1031,12,2015
"TO",238,12,2015
"AC",169,1,2016
"AL",912,1,2016
"AP",156,1,2016
"AM",473,1,2016
"BA",2246,1,2016
"CE",1092,1,2016
"DF",1131,1,2016
"ES",1782,1,2016
"GO",1877,1,2016
"MA",273,1,2016
"MT",1376,1,2016
"MS",924,1,2016
"MG",10188,1,2016
"PA",933,1,2016
"PB",1767,1,2016
"PR",5763,1,2016
"PE",4106,1,2016
"PI",578,1,2016
"RJ",19372,1,2016
"RN",487,1,2016
"RS",2290,1,2016
"RO",623,1,2016
"RR",78,1,2016
"SC",2630,1,2016
"SP",22885,1,2016
"SE",940,1,2016
"TO",299,1,2016
"AC",186,2,2016
"AL",926,2,2016
"AP",164,2,2016
"AM",220,2,2016
"BA",2396,2,2016
"CE",1075,2,2016
"DF",1106,2,2016
"ES",1864,2,2016
"GO",1738,2,2016
"MA",260,2,2016
"MT",1128,2,2016
"MS",1144,2,2016
"MG",10875,2,2016
"PA",947,2,2016
"PB",1865,2,2016
"PR",5553,2,2016
"PE",4992,2,2016
"PI",568,2,2016
"RJ",19432,2,2016
"RN",523,2,2016
"RS",2077,2,2016
"RO",621,2,2016
"RR",114,2,2016
"SC",2483,2,2016
"SP",22603,2,2016
"SE",959,2,2016
"TO",347,2,2016
"AC",152,3,2016
"AL",849,3,2016
"AP",146,3,2016
"AM",271,3,2016
"BA",2670,3,2016
"CE",2405,3,2016
"DF",1221,3,2016
"ES",1969,3,2016
"GO",1994,3,2016
"MA",317,3,2016
"MT",1155,3,2016
"MS",1174,3,2016
"MG",11259,3,2016
"PA",1121,3,2016
"PB",2253,3,2016
"PR",6124,3,2016
"PE",6121,3,2016
"PI",497,3,2016
"RJ",21157,3,2016
"RN",850,3,2016
"RS",2127,3,2016
"RO",641,3,2016
"RR",150,3,2016
"SC",2379,3,2016
"SP",25105,3,2016
"SE",1174,3,2016
"TO",356,3,2016
"AC",204,4,2016
"AL",1016,4,2016
"AP",112,4,2016
"AM",489,4,2016
"BA",2431,4,2016
"CE",2413,4,2016
"DF",1244,4,2016
"ES",1906,4,2016
"GO",2115,4,2016
"MA",308,4,2016
"MT",1233,4,2016
"MS",1227,4,2016
"MG",11197,4,2016
"PA",1115,4,2016
"PB",1674,4,2016
"PR",6117,4,2016
"PE",4623,4,2016
"PI",525,4,2016
"RJ",20142,4,2016
"RN",570,4,2016
"RS",2254,4,2016
"RO",421,4,2016
"RR",131,4,2016
"SC",2158,4,2016
"SP",25542,4,2016
"SE",991,4,2016
"TO",301,4,2016
"AC",183,5,2016
"AL",978,5,2016
"AP",179,5,2016
"AM",200,5,2016
"BA",2240,5,2016
"CE",2469,5,2016
"DF",1199,5,2016
"ES",2071,5,2016
"GO",2114,5,2016
"MA",307,5,2016
"MT",1151,5,2016
"MS",1337,5,2016
"MG",12190,5,2016
"PA",1120,5,2016
"PB",2037,5,2016
"PR",6815,5,2016
"PE",5060,5,2016
"PI",607,5,2016
"RJ",20201,5,2016
"RN",510,5,2016
"RS",2917,5,2016
"RO",731,5,2016
"RR",134,5,2016
"SC",2533,5,2016
"SP",25239,5,2016
"SE",713,5,2016
"TO",373,5,2016
"AC",222,6,2016
"AL",901,6,2016
"AP",194,6,2016
"AM",443,6,2016
"BA",2355,6,2016
"CE",2501,6,2016
"DF",1030,6,2016
"ES",1983,6,2016
"GO",2018,6,2016
"MA",343,6,2016
"MT",1040,6,2016
"MS",1414,6,2016
"MG",12143,6,2016
"PA",939,6,2016
"PB",1880,6,2016
"PR",7364,6,2016
"PE",4670,6,2016
"PI",519,6,2016
"RJ",19636,6,2016
"RN",608,6,2016
"RS",2993,6,2016
"RO",505,6,2016
"RR",168,6,2016
"SC",2870,6,2016
"SP",28796,6,2016
"SE",1002,6,2016
"TO",365,6,2016
"AC",182,7,2016
"AL",913,7,2016
"AP",156,7,2016
"AM",555,7,2016
"BA",2160,7,2016
"CE",2412,7,2016
"DF",1214,7,2016
"ES",2044,7,2016
"GO",2020,7,2016
"MA",476,7,2016
"MT",1129,7,2016
"MS",1306,7,2016
"MG",12068,7,2016
"PA",972,7,2016
"PB",1497,7,2016
"PR",6948,7,2016
"PE",4519,7,2016
"PI",548,7,2016
"RJ",18007,7,2016
"RN",658,7,2016
"RS",2879,7,2016
"RO",671,7,2016
"RR",184,7,2016
"SC",2900,7,2016
"SP",26834,7,2016
"SE",1148,7,2016
"TO",294,7,2016
"AC",251,8,2016
"AL",854,8,2016
"AP",174,8,2016
"AM",258,8,2016
"BA",2348,8,2016
"CE",2395,8,2016
"DF",1188,8,2016
"ES",2064,8,2016
"GO",2241,8,2016
"MA",468,8,2016
"MT",1396,8,2016
"MS",1221,8,2016
"MG",12201,8,2016
"PA",1047,8,2016
"PB",1747,8,2016
"PR",7053,8,2016
"PE",4543,8,2016
"PI",614,8,2016
"RJ",18101,8,2016
"RN",697,8,2016
"RS",2817,8,2016
"RO",660,8,2016
"RR",182,8,2016
"SC",2988,8,2016
"SP",27114,8,2016
"SE",1118,8,2016
"TO",353,8,2016
"AC",226,9,2016
"AL",739,9,2016
"AP",161,9,2016
"AM",142,9,2016
"BA",2334,9,2016
"CE",2301,9,2016
"DF",1164,9,2016
"ES",1851,9,2016
"GO",2092,9,2016
"MA",449,9,2016
"MT",1320,9,2016
"MS",1241,9,2016
"MG",10853,9,2016
"PA",471,9,2016
"PB",1547,9,2016
"PR",6170,9,2016
"PE",4485,9,2016
"PI",607,9,2016
"RJ",20522,9,2016
"RN",704,9,2016
"RS",2658,9,2016
"RO",401,9,2016
"RR",140,9,2016
"SC",2712,9,2016
"SP",24673,9,2016
"SE",981,9,2016
"TO",351,9,2016
"AC",243,10,2016
"AL",746,10,2016
"AP",121,10,2016
"AM",479,10,2016
"BA",2178,10,2016
"CE",2387,10,2016
"DF",1218,10,2016
"ES",1880,10,2016
"GO",2085,10,2016
"MA",466,10,2016
"MT",1359,10,2016
"MS",1190,10,2016
"MG",10841,10,2016
"PA",408,10,2016
"PB",1653,10,2016
"PR",6109,10,2016
"PE",4612,10,2016
"PI",571,10,2016
"RJ",19182,10,2016
"RN",575,10,2016
"RS",2486,10,2016
"RO",380,10,2016
"RR",137,10,2016
"SC",2772,10,2016
"SP",23720,10,2016
"SE",1121,10,2016
"TO",341,10,2016
"AC",199,11,2016
"AL",641,11,2016
"AP",155,11,2016
"AM",390,11,2016
"BA",2426,11,2016
"CE",2416,11,2016
"DF",1061,11,2016
"ES",1908,11,2016
"GO",2095,11,2016
"MA",513,11,2016
"MT",1288,11,2016
"MS",1149,11,2016
"MG",10278,11,2016
"PA",476,11,2016
"PB",1531,11,2016
"PR",5714,11,2016
"PE",4129,11,2016
"PI",656,11,2016
"RJ",16852,11,2016
"RN",819,11,2016
"RS",2259,11,2016
"RO",656,11,2016
"RR",151,11,2016
"SC",2636,11,2016
"SP",23198,11,2016
"SE",1075,11,2016
"TO",326,11,2016
"AC",265,12,2016
"AL",735,12,2016
"AP",168,12,2016
"AM",454,12,2016
"BA",2599,12,2016
"CE",2534,12,2016
"DF",1198,12,2016
"ES",1928,12,2016
"GO",1992,12,2016
"MA",507,12,2016
"MT",1282,12,2016
"MS",1109,12,2016
"MG",10467,12,2016
"PA",431,12,2016
"PB",1504,12,2016
"PR",5453,12,2016
"PE",4399,12,2016
"PI",579,12,2016
"RJ",17080,12,2016
"RN",636,12,2016
"RS",2251,12,2016
"RO",626,12,2016
"RR",138,12,2016
"SC",2581,12,2016
"SP",23564,12,2016
"SE",1061,12,2016
"TO",321,12,2016
"AC",267,1,2017
"AL",929,1,2017
"AP",180,1,2017
"AM",180,1,2017
"BA",2910,1,2017
"CE",2707,1,2017
"DF",1180,1,2017
"ES",2001,1,2017
"GO",2426,1,2017
"MA",514,1,2017
"MT",1368,1,2017
"MS",1167,1,2017
"MG",11351,1,2017
"PA",513,1,2017
"PB",1878,1,2017
"PR",5864,1,2017
"PE",4568,1,2017
"PI",403,1,2017
"RJ",17345,1,2017
"RN",819,1,2017
"RS",2887,1,2017
"RO",616,1,2017
"RR",156,1,2017
"SC",2883,1,2017
"SP",23785,1,2017
"SE",996,1,2017
"TO",389,1,2017
"AC",330,2,2017
"AL",659,2,2017
"AP",148,2,2017
"AM",160,2,2017
"BA",1959,2,2017
"CE",2578,2,2017
"DF",1040,2,2017
"ES",1736,2,2017
"GO",1879,2,2017
"MA",370,2,2017
"MT",1100,2,2017
"MS",1034,2,2017
"MG",8845,2,2017
"PA",429,2,2017
"PB",1506,2,2017
"PR",4664,2,2017
"PE",3904,2,2017
"PI",359,2,2017
"RJ",15473,2,2017
"RN",650,2,2017
"RS",2516,2,2017
"RO",342,2,2017
"RR",107,2,2017
"SC",2343,2,2017
"SP",20050,2,2017
"SE",814,2,2017
"TO",331,2,2017
"AC",371,3,2017
"AL",994,3,2017
"AP",208,3,2017
"AM",423,3,2017
"BA",3492,3,2017
"CE",3594,3,2017
"DF",1227,3,2017
"ES",2056,3,2017
"GO",2483,3,2017
"MA",461,3,2017
"MT",1468,3,2017
"MS",1290,3,2017
"MG",11495,3,2017
"PA",622,3,2017
"PB",2072,3,2017
"PR",6061,3,2017
"PE",4899,3,2017
"PI",479,3,2017
"RJ",21996,3,2017
"RN",960,3,2017
"RS",3098,3,2017
"RO",607,3,2017
"RR",138,3,2017
"SC",3139,3,2017
"SP",26734,3,2017
"SE",1124,3,2017
"TO",446,3,2017
"AC",269,4,2017
"AL",773,4,2017
"AP",127,4,2017
"AM",167,4,2017
"BA",2811,4,2017
"CE",3290,4,2017
"DF",1239,4,2017
"ES",1920,4,2017
"GO",2337,4,2017
"MA",429,4,2017
"MT",1278,4,2017
"MS",1143,4,2017
"MG",10094,4,2017
"PA",489,4,2017
"PB",1713,4,2017
"PR",5413,4,2017
"PE",4608,4,2017
"PI",472,4,2017
"RJ",18539,4,2017
"RN",997,4,2017
"RS",3532,4,2017
"RO",677,4,2017
"RR",134,4,2017
"SC",2530,4,2017
"SP",21982,4,2017
"SE",911,4,2017
"TO",433,4,2017
"AC",363,5,2017
"AL",946,5,2017
"AP",222,5,2017
"AM",680,5,2017
"BA",3509,5,2017
"CE",3433,5,2017
"DF",1234,5,2017
"ES",2088,5,2017
"GO",2555,5,2017
"MA",525,5,2017
"MT",1427,5,2017
"MS",1267,5,2017
"MG",12194,5,2017
"PA",548,5,2017
"PB",1902,5,2017
"PR",6647,5,2017
"PE",5178,5,2017
"PI",608,5,2017
"RJ",21876,5,2017
"RN",933,5,2017
"RS",3493,5,2017
"RO",732,5,2017
"RR",168,5,2017
"SC",3230,5,2017
"SP",27146,5,2017
"SE",1155,5,2017
"TO",287,5,2017
"AC",286,6,2017
"AL",921,6,2017
"AP",186,6,2017
"AM",436,6,2017
"BA",3208,6,2017
"CE",3146,6,2017
"DF",1215,6,2017
"ES",2118,6,2017
"GO",2315,6,2017
"MA",416,6,2017
"MT",1344,6,2017
"MS",1348,6,2017
"MG",12183,6,2017
"PA",539,6,2017
"PB",1817,6,2017
"PR",6567,6,2017
"PE",4998,6,2017
"PI",461,6,2017
"RJ",19975,6,2017
"RN",746,6,2017
"RS",3750,6,2017
"RO",674,6,2017
"RR",172,6,2017
"SC",3321,6,2017
"SP",26238,6,2017
"SE",1000,6,2017
"TO",374,6,2017
"AC",331,7,2017
"AL",878,7,2017
"AP",191,7,2017
"AM",321,7,2017
"BA",3352,7,2017
"CE",3125,7,2017
"DF",1247,7,2017
"ES",2216,7,2017
"GO",2579,7,2017
"MA",410,7,2017
"MT",1478,7,2017
"MS",1291,7,2017
"MG",12871,7,2017
"PA",516,7,2017
"PB",2109,7,2017
"PR",7018,7,2017
"PE",5450,7,2017
"PI",455,7,2017
"RJ",19164,7,2017
"RN",725,7,2017
"RS",3654,7,2017
"RO",447,7,2017
"RR",188,7,2017
"SC",3263,7,2017
"SP",27472,7,2017
"SE",1131,7,2017
"TO",379,7,2017
"AC",353,8,2017
"AL",974,8,2017
"AP",229,8,2017
"AM",294,8,2017
"BA",3536,8,2017
"CE",3139,8,2017
"DF",1290,8,2017
"ES",2292,8,2017
"GO",2470,8,2017
"MA",528,8,2017
"MT",1380,8,2017
"MS",1310,8,2017
"MG",12992,8,2017
"PA",604,8,2017
"PB",2020,8,2017
"PR",6734,8,2017
"PE",5249,8,2017
"PI",493,8,2017
"RJ",19392,8,2017
"RN",795,8,2017
"RS",3156,8,2017
"RO",675,8,2017
"RR",165,8,2017
"SC",3247,8,2017
"SP",27638,8,2017
"SE",1239,8,2017
"TO",432,8,2017
"AC",279,9,2017
"AL",738,9,2017
"AP",184,9,2017
"AM",514,9,2017
"BA",3293,9,2017
"CE",2947,9,2017
"DF",1159,9,2017
"ES",2034,9,2017
"GO",2306,9,2017
"MA",481,9,2017
"MT",1384,9,2017
"MS",1204,9,2017
"MG",11372,9,2017
"PA",498,9,2017
"PB",1792,9,2017
"PR",5826,9,2017
"PE",4676,9,2017
"PI",406,9,2017
"RJ",17571,9,2017
"RN",827,9,2017
"RS",2966,9,2017
"RO",681,9,2017
"RR",143,9,2017
"SC",2862,9,2017
"SP",25031,9,2017
"SE",1166,9,2017
"TO",430,9,2017
"AC",277,10,2017
"AL",845,10,2017
"AP",236,10,2017
"AM",652,10,2017
"BA",3426,10,2017
"CE",2993,10,2017
"DF",1295,10,2017
"ES",2120,10,2017
"GO",2682,10,2017
"MA",558,10,2017
"MT",1418,10,2017
"MS",1178,10,2017
"MG",11899,10,2017
"PA",528,10,2017
"PB",1940,10,2017
"PR",5986,10,2017
"PE",4910,10,2017
"PI",505,10,2017
"RJ",17122,10,2017
"RN",1078,10,2017
"RS",3300,10,2017
"RO",675,10,2017
"RR",145,10,2017
"SC",2991,10,2017
"SP",25602,10,2017
"SE",1137,10,2017
"TO",471,10,2017
"AC",327,11,2017
"AL",863,11,2017
"AP",209,11,2017
"AM",621,11,2017
"BA",3228,11,2017
"CE",3119,11,2017
"DF",1079,11,2017
"ES",1929,11,2017
"GO",2197,11,2017
"MA",574,11,2017
"MT",1241,11,2017
"MS",1063,11,2017
"MG",10629,11,2017
"PA",537,11,2017
"PB",1883,11,2017
"PR",5765,11,2017
"PE",4642,11,2017
"PI",481,11,2017
"RJ",17274,11,2017
"RN",881,11,2017
"RS",5203,11,2017
"RO",672,11,2017
"RR",96,11,2017
"SC",2876,11,2017
"SP",24039,11,2017
"SE",1052,11,2017
"TO",362,11,2017
"AC",356,12,2017
"AL",740,12,2017
"AP",143,12,2017
"AM",529,12,2017
"BA",3075,12,2017
"CE",2999,12,2017
"DF",1184,12,2017
"ES",1866,12,2017
"GO",2232,12,2017
"MA",620,12,2017
"MT",1315,12,2017
"MS",1085,12,2017
"MG",10729,12,2017
"PA",522,12,2017
"PB",1831,12,2017
"PR",5585,12,2017
"PE",4608,12,2017
"PI",448,12,2017
"RJ",17341,12,2017
"RN",1006,12,2017
"RS",5405,12,2017
"RO",419,12,2017
"RR",81,12,2017
"SC",2912,12,2017
"SP",23234,12,2017
"SE",1031,12,2017
"TO",401,12,2017
"AC",311,1,2018
"AL",907,1,2018
"AP",166,1,2018
"AM",587,1,2018
"BA",4006,1,2018
"CE",3368,1,2018
"DF",1131,1,2018
"ES",2013,1,2018
"GO",2615,1,2018
"MA",962,1,2018
"MT",1460,1,2018
"MS",1202,1,2018
"MG",11726,1,2018
"PA",721,1,2018
"PB",2169,1,2018
"PR",6018,1,2018
"PE",5102,1,2018
"PI",922,1,2018
"RJ",20721,1,2018
"RN",1177,1,2018
"RS",5509,1,2018
"RO",724,1,2018
"RR",165,1,2018
"SC",3214,1,2018
"SP",25019,1,2018
"SE",1080,1,2018
"TO",515,1,2018
"AC",250,2,2018
"AL",765,2,2018
"AP",151,2,2018
"AM",635,2,2018
"BA",3570,2,2018
"CE",2906,2,2018
"DF",1100,2,2018
"ES",1680,2,2018
"GO",2235,2,2018
"MA",722,2,2018
"MT",1283,2,2018
"MS",1058,2,2018
"MG",9794,2,2018
"PA",545,2,2018
"PB",1901,2,2018
"PR",5217,2,2018
"PE",4460,2,2018
"PI",831,2,2018
"RJ",18105,2,2018
"RN",916,2,2018
"RS",4721,2,2018
"RO",546,2,2018
"RR",144,2,2018
"SC",2793,2,2018
"SP",21540,2,2018
"SE",816,2,2018
"TO",418,2,2018
"AC",408,3,2018
"AL",875,3,2018
"AP",151,3,2018
"AM",559,3,2018
"BA",4247,3,2018
"CE",3405,3,2018
"DF",1328,3,2018
"ES",1933,3,2018
"GO",2483,3,2018
"MA",924,3,2018
"MT",1466,3,2018
"MS",1264,3,2018
"MG",10529,3,2018
"PA",653,3,2018
"PB",2030,3,2018
"PR",5971,3,2018
"PE",4630,3,2018
"PI",723,3,2018
"RJ",19786,3,2018
"RN",1179,3,2018
"RS",5235,3,2018
"RO",671,3,2018
"RR",175,3,2018
"SC",2853,3,2018
"SP",23645,3,2018
"SE",1010,3,2018
"TO",479,3,2018
"AC",373,4,2018
"AL",1155,4,2018
"AP",154,4,2018
"AM",373,4,2018
"BA",4437,4,2018
"CE",3744,4,2018
"DF",1173,4,2018
"ES",1932,4,2018
"GO",2755,4,2018
"MA",1171,4,2018
"MT",1458,4,2018
"MS",1280,4,2018
"MG",10553,4,2018
"PA",815,4,2018
"PB",2207,4,2018
"PR",5856,4,2018
"PE",5249,4,2018
"PI",832,4,2018
"RJ",19667,4,2018
"RN",1129,4,2018
"RS",4737,4,2018
"RO",647,4,2018
"RR",171,4,2018
"SC",3271,4,2018
"SP",24005,4,2018
"SE",1117,4,2018
"TO",499,4,2018
"AC",308,5,2018
"AL",1218,5,2018
"AP",161,5,2018
"AM",306,5,2018
"BA",4974,5,2018
"CE",3843,5,2018
"DF",1223,5,2018
"ES",2156,5,2018
"GO",2756,5,2018
"MA",1259,5,2018
"MT",1497,5,2018
"MS",1310,5,2018
"MG",11347,5,2018
"PA",851,5,2018
"PB",2399,5,2018
"PR",6331,5,2018
"PE",5536,5,2018
"PI",848,5,2018
"RJ",20997,5,2018
"RN",1198,5,2018
"RS",5422,5,2018
"RO",485,5,2018
"RR",220,5,2018
"SC",3292,5,2018
"SP",26250,5,2018
"SE",1125,5,2018
"TO",558,5,2018
"AC",340,6,2018
"AL",1140,6,2018
"AP",231,6,2018
"AM",642,6,2018
"BA",4922,6,2018
"CE",3412,6,2018
"DF",1272,6,2018
"ES",2133,6,2018
"GO",2511,6,2018
"MA",1128,6,2018
"MT",1394,6,2018
"MS",1355,6,2018
"MG",11602,6,2018
"PA",868,6,2018
"PB",2322,6,2018
"PR",6986,6,2018
"PE",5009,6,2018
"PI",738,6,2018
"RJ",19116,6,2018
"RN",1243,6,2018
"RS",5944,6,2018
"RO",569,6,2018
"RR",225,6,2018
"SC",3776,6,2018
"SP",28127,6,2018
"SE",1160,6,2018
"TO",486,6,2018
"AC",393,7,2018
"AL",1268,7,2018
"AP",141,7,2018
"AM",745,7,2018
"BA",5336,7,2018
"CE",3327,7,2018
"DF",1210,7,2018
"ES",2204,7,2018
"GO",2592,7,2018
"MA",1165,7,2018
"MT",1373,7,2018
"MS",1404,7,2018
"MG",12419,7,2018
"PA",971,7,2018
"PB",2330,7,2018
"PR",7443,7,2018
"PE",5338,7,2018
"PI",675,7,2018
"RJ",19747,7,2018
"RN",1070,7,2018
"RS",7273,7,2018
"RO",710,7,2018
"RR",200,7,2018
"SC",3956,7,2018
"SP",28452,7,2018
"SE",1108,7,2018
"TO",511,7,2018
"AC",307,8,2018
"AL",1370,8,2018
"AP",177,8,2018
"AM",603,8,2018
"BA",5087,8,2018
"CE",3198,8,2018
"DF",1266,8,2018
"ES",1963,8,2018
"GO",2571,8,2018
"MA",1263,8,2018
"MT",975,8,2018
"MS",1373,8,2018
"MG",11201,8,2018
"PA",1098,8,2018
"PB",2208,8,2018
"PR",6857,8,2018
"PE",4945,8,2018
"PI",855,8,2018
"RJ",28766,8,2018
"RN",1111,8,2018
"RS",7256,8,2018
"RO",678,8,2018
"RR",221,8,2018
"SC",3682,8,2018
"SP",27665,8,2018
"SE",1099,8,2018
"TO",442,8,2018
"AC",316,9,2018
"AL",1155,9,2018
"AP",174,9,2018
"AM",329,9,2018
"BA",4789,9,2018
"CE",3127,9,2018
"DF",1094,9,2018
"ES",1896,9,2018
"GO",2347,9,2018
"MA",1230,9,2018
"MT",1001,9,2018
"MS",1227,9,2018
"MG",10048,9,2018
"PA",1098,9,2018
"PB",1995,9,2018
